mode,domain,size,run,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,fs
cera-full,laptop,100,1,28,0,2,0.0,25,0.8929,89.29
cera-full,laptop,100,2,33,11,5,0.3333,31,0.9394,60.61
cera-full,laptop,100,3,27,19,4,0.7037,25,0.9259,22.22
cera-full,laptop,100,4,30,9,0,0.3,28,0.9333,63.33
cera-full,laptop,100,5,33,9,4,0.2727,27,0.8182,54.55
cera-full,laptop,500,1,140,3,7,0.0214,127,0.9071,88.57
cera-full,laptop,500,2,139,36,21,0.259,120,0.8633,60.43
cera-full,laptop,500,3,146,2,4,0.0137,129,0.8836,86.99
cera-full,laptop,500,4,144,24,10,0.1667,129,0.8958,72.91
cera-full,laptop,500,5,134,22,0,0.1642,127,0.9478,78.36
cera-full,laptop,1000,1,288,4,13,0.0139,256,0.8889,87.5
cera-full,laptop,1000,2,293,33,9,0.1126,262,0.8942,78.16
cera-full,laptop,1000,3,298,12,0,0.0403,268,0.8993,85.9
cera-full,laptop,1000,4,280,43,19,0.1536,245,0.875,72.14
cera-full,laptop,1000,5,293,51,1,0.1741,258,0.8805,70.64
cera-no-sil,laptop,100,1,27,0,25,0.0,3,0.1111,11.11
cera-no-sil,laptop,100,2,29,16,0,0.5517,17,0.5862,3.45
cera-no-sil,laptop,100,3,34,12,21,0.3529,13,0.3824,2.95
cera-no-sil,laptop,100,4,31,13,0,0.4194,15,0.4839,6.45
cera-no-sil,laptop,100,5,35,9,6,0.2571,9,0.2571,0.0
cera-no-sil,laptop,500,1,140,44,9,0.3143,52,0.3714,5.71
cera-no-sil,laptop,500,2,100,30,12,0.3,34,0.34,4.0
cera-no-sil,laptop,500,3,145,38,9,0.2621,46,0.3172,5.51
cera-no-sil,laptop,500,4,100,37,1,0.37,41,0.41,4.0
cera-no-sil,laptop,500,5,100,27,19,0.27,28,0.28,1.0
cera-no-sil,laptop,1000,1,100,40,50,0.4,41,0.41,1.0
cera-no-sil,laptop,1000,2,284,118,13,0.4155,124,0.4366,2.11
cera-no-sil,laptop,1000,3,100,10,13,0.1,11,0.11,1.0
cera-no-sil,laptop,1000,4,289,86,62,0.2976,107,0.3702,7.26
cera-no-sil,laptop,1000,5,100,40,3,0.4,43,0.43,3.0
cera-sav,laptop,100,1,26,10,4,0.3846,22,0.8462,46.16
cera-sav,laptop,100,2,24,3,0,0.125,22,0.9167,79.17
cera-sav,laptop,100,3,31,0,4,0.0,29,0.9355,93.55
cera-sav,laptop,100,4,34,0,1,0.0,29,0.8529,85.29
cera-sav,laptop,100,5,30,2,0,0.0667,30,1.0,93.33
cera-sav,laptop,500,1,147,68,18,0.4626,132,0.898,43.54
cera-sav,laptop,500,2,143,17,1,0.1189,139,0.972,85.31
cera-sav,laptop,500,3,138,63,5,0.4565,130,0.942,48.55
cera-sav,laptop,500,4,145,97,12,0.669,125,0.8621,19.31
cera-sav,laptop,500,5,134,2,11,0.0149,128,0.9552,94.03
cera-sav,laptop,1000,1,297,70,1,0.2357,251,0.8451,60.94
cera-sav,laptop,1000,2,306,27,15,0.0882,267,0.8725,78.43
cera-sav,laptop,1000,3,307,85,0,0.2769,250,0.8143,53.74
cera-sav,laptop,1000,4,100,2,9,0.02,86,0.86,84.0
cera-sav,laptop,1000,5,100,12,2,0.12,90,0.9,78.0
heuristic,laptop,100,1,21,21,0,1.0,21,1.0,0.0
heuristic,laptop,100,2,22,22,0,1.0,22,1.0,0.0
heuristic,laptop,100,3,23,22,1,0.9565,22,0.9565,0.0
heuristic,laptop,100,4,20,20,0,1.0,20,1.0,0.0
heuristic,laptop,100,5,20,20,0,1.0,20,1.0,0.0
heuristic,laptop,500,1,115,108,0,0.9391,113,0.9826,4.35
heuristic,laptop,500,2,100,96,0,0.96,99,0.99,3.0
heuristic,laptop,500,3,115,111,1,0.9652,114,0.9913,2.61
heuristic,laptop,500,4,119,114,0,0.958,117,0.9832,2.52
heuristic,laptop,500,5,100,91,0,0.91,99,0.99,8.0
heuristic,laptop,1000,1,238,104,0,0.437,233,0.979,54.2
heuristic,laptop,1000,2,232,222,0,0.9569,225,0.9698,1.29
heuristic,laptop,1000,3,100,98,0,0.98,100,1.0,2.0
heuristic,laptop,1000,4,100,99,0,0.99,99,0.99,0.0
heuristic,laptop,1000,5,100,90,0,0.9,95,0.95,5.0
