mode,domain,size,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,fs,runCount
cera-full,laptop,100,151,48,15,0.3219,136,0.9019,58.0,5
cera-full,laptop,500,703,87,42,0.125,632,0.8995,77.45,5
cera-full,laptop,1000,1452,143,42,0.0989,1289,0.8876,78.87,5
cera-full,laptop,ALL,2306,278,99,0.1819,2057,0.8963,71.44,15
cera-no-sil,laptop,100,156,50,52,0.3162,57,0.3641,4.79,5
cera-no-sil,laptop,500,585,176,50,0.3033,201,0.3437,4.04,5
cera-no-sil,laptop,1000,873,294,141,0.3226,326,0.3514,2.87,5
cera-no-sil,laptop,ALL,1614,520,243,0.314,584,0.3531,3.9,15
cera-sav,laptop,100,145,15,9,0.1153,132,0.9103,79.5,5
cera-sav,laptop,500,707,247,47,0.3444,654,0.9259,58.15,5
cera-sav,laptop,1000,1110,196,27,0.1482,944,0.8584,71.02,5
cera-sav,laptop,ALL,1962,458,83,0.2026,1730,0.8982,69.56,15
heuristic,laptop,100,106,105,1,0.9913,105,0.9913,0.0,5
heuristic,laptop,500,549,520,1,0.9465,542,0.9874,4.1,5
heuristic,laptop,1000,770,613,0,0.8528,752,0.9778,12.5,5
heuristic,laptop,ALL,1425,1238,2,0.9302,1399,0.9855,5.53,15
