mode,domain,size,run,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,fs
cera-full,restaurant,100,1,32,7,0,0.2188,31,0.9688,75.0
cera-full,restaurant,100,2,28,14,0,0.5,24,0.8571,35.71
cera-full,restaurant,100,3,24,12,1,0.5,19,0.7917,29.17
cera-full,restaurant,100,4,30,21,0,0.7,28,0.9333,23.33
cera-full,restaurant,100,5,30,5,1,0.1667,25,0.8333,66.66
cera-full,restaurant,500,1,147,44,9,0.2993,142,0.966,66.67
cera-full,restaurant,500,2,138,39,3,0.2826,132,0.9565,67.39
cera-full,restaurant,500,3,151,37,5,0.245,141,0.9338,68.88
cera-full,restaurant,500,4,155,99,1,0.6387,148,0.9548,31.61
cera-full,restaurant,500,5,157,57,2,0.3631,147,0.9363,57.32
cera-full,restaurant,1000,1,293,17,0,0.058,288,0.9829,92.49
cera-full,restaurant,1000,2,281,200,5,0.7117,268,0.9537,24.2
cera-full,restaurant,1000,3,280,102,2,0.3643,268,0.9571,59.28
cera-full,restaurant,1000,4,291,83,7,0.2852,272,0.9347,64.95
cera-full,restaurant,1000,5,295,9,4,0.0305,278,0.9424,91.19
cera-no-sil,restaurant,100,1,27,6,6,0.2222,20,0.7407,51.85
cera-no-sil,restaurant,100,2,26,7,12,0.2692,22,0.8462,57.7
cera-no-sil,restaurant,100,3,35,23,12,0.6571,28,0.8,14.29
cera-no-sil,restaurant,100,4,28,6,11,0.2143,20,0.7143,50.0
cera-no-sil,restaurant,100,5,31,5,15,0.1613,20,0.6452,48.39
cera-no-sil,restaurant,500,1,153,24,25,0.1569,102,0.6667,50.98
cera-no-sil,restaurant,500,2,150,30,87,0.2,104,0.6933,49.33
cera-no-sil,restaurant,500,3,155,20,59,0.129,112,0.7226,59.36
cera-no-sil,restaurant,500,4,150,15,0,0.1,90,0.6,50.0
cera-no-sil,restaurant,500,5,156,22,62,0.141,110,0.7051,56.41
cera-no-sil,restaurant,1000,1,292,58,21,0.1986,201,0.6884,48.98
cera-no-sil,restaurant,1000,2,304,54,121,0.1776,213,0.7007,52.31
cera-no-sil,restaurant,1000,3,307,20,43,0.0651,149,0.4853,42.02
cera-no-sil,restaurant,1000,4,301,11,68,0.0365,128,0.4252,38.87
cera-no-sil,restaurant,1000,5,277,40,31,0.1444,192,0.6931,54.87
cera-sav,restaurant,100,1,29,27,1,0.931,28,0.9655,3.45
cera-sav,restaurant,100,2,36,26,1,0.7222,33,0.9167,19.45
cera-sav,restaurant,100,3,32,24,3,0.75,27,0.8438,9.38
cera-sav,restaurant,100,4,29,18,3,0.6207,27,0.931,31.03
cera-sav,restaurant,100,5,31,15,4,0.4839,26,0.8387,35.48
cera-sav,restaurant,500,1,154,153,1,0.9935,153,0.9935,0.0
cera-sav,restaurant,500,2,154,141,2,0.9156,152,0.987,7.14
cera-sav,restaurant,500,3,153,136,1,0.8889,145,0.9477,5.88
cera-sav,restaurant,500,4,150,8,5,0.0533,138,0.92,86.67
cera-sav,restaurant,500,5,159,131,4,0.8239,149,0.9371,11.32
cera-sav,restaurant,1000,1,303,261,3,0.8614,293,0.967,10.56
cera-sav,restaurant,1000,2,296,284,6,0.9595,287,0.9696,1.01
cera-sav,restaurant,1000,3,305,25,8,0.082,292,0.9574,87.54
cera-sav,restaurant,1000,4,292,82,5,0.2808,279,0.9555,67.47
cera-sav,restaurant,1000,5,274,200,7,0.7299,261,0.9526,22.27
heuristic,restaurant,100,1,20,19,0,0.95,20,1.0,5.0
heuristic,restaurant,100,2,20,20,0,1.0,20,1.0,0.0
heuristic,restaurant,100,3,20,18,2,0.9,20,1.0,10.0
heuristic,restaurant,100,4,22,20,2,0.9091,22,1.0,9.09
heuristic,restaurant,100,5,26,26,0,1.0,26,1.0,0.0
heuristic,restaurant,500,1,114,107,4,0.9386,114,1.0,6.14
heuristic,restaurant,500,2,106,102,0,0.9623,106,1.0,3.77
heuristic,restaurant,500,3,109,99,6,0.9083,109,1.0,9.17
heuristic,restaurant,500,4,113,88,8,0.7788,112,0.9912,21.24
heuristic,restaurant,500,5,105,100,3,0.9524,105,1.0,4.76
heuristic,restaurant,1000,1,234,209,9,0.8932,232,0.9915,9.83
heuristic,restaurant,1000,2,226,212,4,0.9381,226,1.0,6.19
heuristic,restaurant,1000,3,212,204,3,0.9623,212,1.0,3.77
heuristic,restaurant,1000,4,218,131,8,0.6009,217,0.9954,39.45
heuristic,restaurant,1000,5,100,94,4,0.94,226,2.26,6.0
