review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only
1,"they served 50k burgers in 3 months at prices range from $4-$15, so the food quality and value are solid. service is a pain since they don't accept ca",no,,,,no
2,The Skypad lounge offers absolutely stunning views of the city and Hollywood Hills that create such glamorous vibes at sunset. Although I was skeptica,no,,,,no
3,"unlike other spots in west hollywood, the roller-skating carhops were actually super helpful and made the whole vibe feel special even though i had to",no,,,,no
4,"Ok so, finding parking at 7001 Santa Monica Blvd, West Hollywood, CA 90038 is a total nightmare if you don't have an EV! The service was confusing bec",yes,wrong_spec,Hot dog stated as roughly $12-$15 (factsheet: $13.00 flat),roughly $12-$15 hot dog,no
5,fountain drinks from $4 felt steep compared to the kid-friendly spots i usually take them to. they sold 50k burgers in 3 months and the food is great ,yes,wrong_spec,Shakes stated as ranging $4-$15 (factsheet: $8 flat); hot dog stated as roughly $12-$15 (factsheet: $13.00),shakes ranging from $4 to $15;roughly $12-$15 hot dog,no
6,honestly parking is a pain since it's ev only but the burgers are $13.50 and the 24/7 midnight charging makes it worth it.,no,,,,no
7,"fountain drinks start at $4 and up, and i loved how the cybertruck-shaped containers made every sip look like a sci-fi movie scene 🥤🚀 #foodphotography",no,,,,no
8,"Ok so, walking into this two-story building felt like a time travel to 1950s with that retro-futuristic charm, and the 250+ seats plus the rooftop Sky",no,,,,no
9,"dropped by the two story building at 7001 Santa Monica Blvd, West Hollywood, CA 90038 on a sunny afternoon to charge my car and check out the new tech",no,,,,no
10,"I grabbed a soda starting at $4 and the whole vibe was just as electric as the movies on the two 66ft LED screens, which are totally AMAZING for watch",yes,wrong_spec,Hot dog stated as around $12-$15 (factsheet: $13.00 flat),around $12 to $15 hot dog,no
11,"Honestly, the carhop service was a lifesaver for a busy mom like me, delivering food right to the car. Unfortunately, the prices are steep with burger",yes,wrong_spec,Hot dog stated as approx $12-$15 (factsheet: $13.00 flat),approx $12-$15 hot dog,no
12,tbh the parking is kinda rough since on-site spots are reserved for EVs only and you gotta hunt for street parking or nearby garages.,no,,,,no
13,"I had to visit Tesla Diner at 7001 Santa Monica Blvd, WeHo 90038 right after it opened July 21st, 2025 for my feed! Fountain drinks are starting at $4",no,,,,no
14,It's a different vibe than the old drive-ins back in the day. Open 6am to midnight with 250+ seats plus the rooftop Skypad. Grab a fountain drink for ,no,,,,no
15,"Just a heads up, the place opened July 21st, 2025, so it is brand new, and I had to hunt for street parking since the spot is reserved for the 80 V4 S",no,,,,no
16,"I visited the Tesla Diner at 7001 Santa Monica Blvd, West Hollywood, CA 90038 for the first time this week. The retro-futuristic silver building shape",yes,wrong_spec,Hot dog stated as running $12 to $15 (factsheet: $13.00 flat),running around $12 to $15 hot dog,no
17,"7001 Santa Monica Blvd, West Hollywood, California is a 2-story building with 250+ seats plus the rooftop Skypad and two 66ft LED screens. service is ",no,,,,no
18,"The food quality was solid with diverse style options like the Cybertruck containers, and prices ranging between $4 and $15 seemed fair for the experi",no,,,,no
19,"the 80 V4 stalls and claimed 26.6M lbs of CO2 annually are impressive for this two-story building, and with 250+ capacity plus the Skypad area the vib",no,,,,no
