mode,domain,size,run,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,fs
cera-full,hotel,100,1,31,1,0,0.0323,27,0.871,0.8387
cera-full,hotel,100,2,29,3,0,0.1034,29,1.0,0.8966
cera-full,hotel,100,3,31,4,0,0.129,18,0.5806,0.4516
cera-full,hotel,100,4,23,5,0,0.2174,19,0.8261,0.6087
cera-full,hotel,100,5,32,12,0,0.375,19,0.5938,0.2188
cera-full,hotel,500,1,144,8,0,0.0556,75,0.5208,0.4653
cera-full,hotel,500,2,147,2,0,0.0136,77,0.5238,0.5102
cera-full,hotel,500,3,147,58,0,0.3946,68,0.4626,0.068
cera-full,hotel,500,4,155,84,0,0.5419,107,0.6903,0.1484
cera-full,hotel,500,5,144,91,0,0.6319,104,0.7222,0.0903
cera-full,hotel,1000,1,311,28,7,0.09,259,0.8328,0.7428
cera-full,hotel,1000,2,292,130,3,0.4452,270,0.9247,0.4795
cera-full,hotel,1000,3,282,126,15,0.4468,235,0.8333,0.3865
cera-full,hotel,1000,4,284,95,15,0.3345,207,0.7289,0.3944
cera-full,hotel,1000,5,282,55,9,0.195,219,0.7766,0.5816
cera-sav,hotel,100,1,26,14,0,0.5385,16,0.6154,0.0769
cera-sav,hotel,100,2,27,0,0,0.0,12,0.4444,0.4444
cera-sav,hotel,100,3,28,23,0,0.8214,23,0.8214,0.0
cera-sav,hotel,100,4,29,0,0,0.0,18,0.6207,0.6207
cera-sav,hotel,100,5,32,0,0,0.0,21,0.6562,0.6562
cera-sav,hotel,500,1,147,110,0,0.7483,117,0.7959,0.0476
cera-sav,hotel,500,2,148,4,0,0.027,85,0.5743,0.5473
cera-sav,hotel,500,3,146,78,0,0.5342,86,0.589,0.0548
cera-sav,hotel,500,4,142,4,0,0.0282,81,0.5704,0.5423
cera-sav,hotel,500,5,145,0,0,0.0,107,0.7379,0.7379
cera-sav,hotel,1000,1,298,194,0,0.651,234,0.7852,0.1342
cera-sav,hotel,1000,2,307,3,0,0.0098,170,0.5537,0.544
cera-sav,hotel,1000,3,304,192,0,0.6316,197,0.648,0.0164
cera-sav,hotel,1000,4,315,4,0,0.0127,133,0.4222,0.4095
cera-sav,hotel,1000,5,272,2,0,0.0074,242,0.8897,0.8824
cera-no-sil,hotel,100,1,30,0,0,0.0,0,0.0,0.0
cera-no-sil,hotel,100,2,28,0,0,0.0,0,0.0,0.0
cera-no-sil,hotel,100,3,24,0,0,0.0,0,0.0,0.0
cera-no-sil,hotel,100,4,25,0,0,0.0,0,0.0,0.0
cera-no-sil,hotel,100,5,29,0,0,0.0,0,0.0,0.0
cera-no-sil,hotel,500,1,147,2,0,0.0136,4,0.0272,0.0136
cera-no-sil,hotel,500,2,151,9,0,0.0596,11,0.0728,0.0132
cera-no-sil,hotel,500,3,137,4,0,0.0292,4,0.0292,0.0
cera-no-sil,hotel,500,4,141,3,0,0.0213,3,0.0213,0.0
cera-no-sil,hotel,500,5,148,2,0,0.0135,5,0.0338,0.0203
cera-no-sil,hotel,1000,1,283,9,1,0.0318,37,0.1307,0.0989
cera-no-sil,hotel,1000,2,273,6,2,0.022,33,0.1209,0.0989
cera-no-sil,hotel,1000,3,273,9,5,0.033,43,0.1575,0.1245
cera-no-sil,hotel,1000,4,284,2,1,0.007,41,0.1444,0.1373
cera-no-sil,hotel,1000,5,284,2,3,0.007,36,0.1268,0.1197
heuristic,hotel,100,1,20,0,0,0.0,0,0.0,0.0
heuristic,hotel,100,2,20,0,0,0.0,1,0.05,0.05
heuristic,hotel,100,3,20,0,0,0.0,1,0.05,0.05
heuristic,hotel,100,4,20,0,0,0.0,0,0.0,0.0
heuristic,hotel,100,5,20,1,0,0.05,2,0.1,0.05
heuristic,hotel,500,1,100,5,0,0.05,9,0.09,0.04
heuristic,hotel,500,2,100,5,0,0.05,15,0.15,0.1
heuristic,hotel,500,3,100,10,0,0.1,16,0.16,0.06
heuristic,hotel,500,4,100,6,0,0.06,16,0.16,0.1
heuristic,hotel,500,5,100,10,0,0.1,19,0.19,0.09
heuristic,hotel,1000,1,200,7,0,0.035,7,0.035,0.0
heuristic,hotel,1000,2,200,10,0,0.05,10,0.05,0.0
heuristic,hotel,1000,3,200,14,0,0.07,14,0.07,0.0
heuristic,hotel,1000,4,200,10,0,0.05,10,0.05,0.0
heuristic,hotel,1000,5,200,12,0,0.06,12,0.06,0.0
