mode,domain,size,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,fs,runCount
cera-full,hotel,100,146,25,0,0.1712,112,0.7671,0.5959,5
cera-sav,hotel,100,142,37,0,0.2606,90,0.6338,0.3732,5
cera-no-sil,hotel,100,136,0,0,0.0,0,0.0,0.0,5
heuristic,hotel,100,100,1,0,0.01,4,0.04,0.03,5
cera-full,hotel,500,737,243,0,0.3297,431,0.5848,0.2551,5
cera-sav,hotel,500,728,196,0,0.2692,476,0.6538,0.3846,5
cera-no-sil,hotel,500,724,20,0,0.0276,27,0.0373,0.0097,5
heuristic,hotel,500,500,36,0,0.072,75,0.15,0.078,5
cera-full,hotel,1000,1451,434,49,0.2991,1190,0.8201,0.521,5
cera-sav,hotel,1000,1496,395,0,0.264,976,0.6524,0.3884,5
cera-no-sil,hotel,1000,1397,28,12,0.02,190,0.136,0.116,5
heuristic,hotel,1000,1000,53,0,0.053,53,0.053,0.0,5
cera-full,hotel,ALL,2334,702,49,0.3008,1733,0.7425,0.4417,15
cera-sav,hotel,ALL,2366,628,0,0.2654,1542,0.6517,0.3863,15
cera-no-sil,hotel,ALL,2257,48,12,0.0213,217,0.0961,0.0748,15
heuristic,hotel,ALL,1600,90,0,0.0563,132,0.0825,0.0262,15
