mode,domain,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
heuristic,laptop,100,1,1,"The 15.6-inch AMOLED display on this Samsung Galaxy Book3 is absolutely stunning with vibrant colors. However, the battery life barely lasts four hour",yes,hallucinated_feature,Claims AMOLED display; factsheet says IPS LCD and explicitly no OLED,AMOLED display,no,cpu_available_models;display_panel_type;display_size_ratio;limit_no_oled
heuristic,laptop,100,1,2,"The Samsung Galaxy Book3 has a stunning 2.8K AMOLED display that makes colors pop vividly. However, the battery life struggles to last more than five ",yes,wrong_spec;hallucinated_feature,Claims 2.8K resolution (actual 1920x1080 FHD); claims AMOLED display (actual IPS LCD and no OLED),2.8K AMOLED display,no,cpu_available_models;cpu_generation;display_panel_type;display_resolution;limit_no_oled
heuristic,laptop,100,1,3,"The 15.6-inch display is stunning with vibrant colors and sharp resolution, making media consumption a joy. However, the battery life is disappointing",no,,,,no,cpu_available_models;display_size_ratio;ram_configurations
heuristic,laptop,100,1,4,The Samsung Galaxy Book3 features a stunning 1920x1080 display that looks vibrant even in bright rooms. I am impressed by the Intel Core i5 processor ,no,,,,no,cpu_available_models;display_resolution
heuristic,laptop,100,1,5,"The Samsung Galaxy Book3 has a stunning AMOLED display that looks vibrant even in bright sunlight. However, the battery life barely lasts four hours w",yes,hallucinated_feature,Claims AMOLED display; factsheet says IPS LCD and explicitly no OLED,AMOLED display,no,display_panel_type;limit_no_oled;ram_configurations
heuristic,laptop,100,1,6,"The 15.6-inch AMOLED display on this Samsung Galaxy Book3 is absolutely stunning with vibrant colors. However, the battery life barely lasts four hour",yes,hallucinated_feature,Claims AMOLED display; factsheet says IPS LCD and explicitly no OLED,15.6-inch AMOLED display,no,display_panel_type;display_size_ratio;limit_no_oled;ram_configurations
heuristic,laptop,100,1,7,"The Samsung Galaxy Book3 is a sleek laptop with a stunning 2.8K OLED display that makes colors pop vividly. However, the battery life is disappointing",yes,wrong_spec;hallucinated_feature,Claims 2.8K OLED display; resolution is 1920x1080 FHD and panel is IPS LCD with no OLED,2.8K OLED display,no,cpu_available_models;display_panel_type;display_resolution;limit_no_oled;ports_usb_c
heuristic,laptop,100,1,8,The Samsung Galaxy Book3 features a stunning 15.6-inch AMOLED display that is incredibly bright and vibrant for both work and streaming. Performance w,yes,hallucinated_feature;wrong_spec,Claims AMOLED display (actual IPS LCD/no OLED); claims 12th Gen processor (actual 13th Gen Raptor Lake),15.6-inch AMOLED display;12th Gen Intel Core i5,no,cpu_generation;display_panel_type;display_size_ratio;limit_no_oled
heuristic,laptop,100,1,9,"The Samsung Galaxy Book3 looks sleek and the 120Hz display is incredibly vibrant for media consumption. However, the battery life struggles to last mo",no,,,,no,ram_configurations
heuristic,laptop,100,1,10,"The 15.6-inch display is stunning with vibrant colors and sharp 1080p resolution for my daily work. However, the battery life only lasts about 6 hours",no,,,,no,cpu_available_models;display_resolution;display_size_ratio
heuristic,laptop,100,1,11,"The Samsung Galaxy Book3 has a stunning 2256x1400 display that looks vibrant for media consumption. However, the battery life barely lasts six hours u",yes,wrong_spec,Claims 2256x1400 resolution; actual resolution is 1920x1080 FHD,2256x1400 display,no,display_resolution;ram_configurations
heuristic,laptop,100,1,12,"The 13-inch display on this Samsung Galaxy Book3 is stunning with vibrant colors and deep blacks. However, the battery life is disappointing and rarel",yes,wrong_spec,Claims 13-inch display; actual size is 15.6-inch,13-inch display,no,display_size_ratio;ram_configurations
heuristic,laptop,100,1,13,The Samsung Galaxy Book3 features a stunning 2560x1600 AMOLED display that makes colors pop vividly. While the Intel Core i5 processor handles my dail,yes,wrong_spec;hallucinated_feature,Claims 2560x1600 resolution (actual 1920x1080 FHD); claims AMOLED display (actual IPS LCD/no OLED),2560x1600 AMOLED display,no,cpu_available_models;display_panel_type;display_resolution;limit_no_oled
heuristic,laptop,100,1,14,"The 15.6-inch QLED display on this Galaxy Book3 is stunning with vibrant colors and excellent brightness even outdoors. However, the battery life stru",yes,factual_error;factual_error,Claims QLED panel type (actual IPS LCD); claims lack of microSD card slot (factsheet confirms microSD reader present),QLED display;lack of a microSD card slot,no,cpu_available_models;display_panel_type;display_size_ratio;storage_microsd
heuristic,laptop,100,1,15,"The Samsung Galaxy Book3 has a stunning 1080p display that is incredibly bright for outdoor use. However, the battery life is disappointing, lasting o",no,,,,no,display_resolution;ram_configurations
heuristic,laptop,100,1,16,The Samsung Galaxy Book3 features a stunning 15.6-inch AMOLED display that makes colors pop vividly. Its Intel Core i7 processor handles multitasking ,yes,hallucinated_feature,Claims AMOLED display; factsheet says IPS LCD and explicitly no OLED,15.6-inch AMOLED display,no,battery_life;cpu_available_models;display_panel_type;display_size_ratio;limit_no_oled
heuristic,laptop,100,1,17,"The 15.6-inch AMOLED display on this Samsung Galaxy Book3 is stunning with vibrant colors and deep blacks. However, the battery life barely lasts five",yes,hallucinated_feature;wrong_spec,Claims AMOLED display (actual IPS LCD/no OLED); claims 12th Gen processor (actual 13th Gen),15.6-inch AMOLED display;12th Gen Intel Core i5,no,cpu_generation;display_panel_type;display_size_ratio;limit_no_oled;ports_usb_c
heuristic,laptop,100,1,18,The Samsung Galaxy Book3 features a stunning 15.6-inch display with excellent brightness that looks great outdoors. Performance is snappy thanks to th,no,,,,no,cpu_available_models;display_size_ratio;gpu_integrated
heuristic,laptop,100,1,19,"The 15.6-inch display on my new Samsung Galaxy Book3 is stunning with vibrant colors and excellent brightness for outdoor use. However, the battery li",no,,,,no,display_size_ratio;ram_configurations
heuristic,laptop,100,1,20,"The Samsung Galaxy Book3 features a stunning 1080p AMOLED display that offers vibrant colors and deep blacks, making it perfect for media consumption.",yes,hallucinated_feature;wrong_spec,Claims AMOLED display (actual IPS LCD/no OLED); claims 12th Gen Intel CPU (actual 13th Gen),1080p AMOLED display;12th Gen Intel CPU,no,cpu_generation;display_panel_type;display_resolution;limit_no_oled;ram_configurations
heuristic,laptop,100,2,1,The 15.6-inch AMOLED display on this Samsung Galaxy Book3 is absolutely stunning with vibrant colors and deep blacks. I am impressed by the Intel Core,yes,hallucinated_feature,Claims AMOLED display; factsheet says IPS LCD and explicitly no OLED,AMOLED display,no,cpu_available_models;display_panel_type;display_size_ratio;limit_no_oled
heuristic,laptop,100,2,2,"The 13th Gen Intel Core i5 processor handles my daily tasks with impressive speed. However, the 15.6-inch display is a bit dim for outdoor use. Batter",no,,,,no,cpu_available_models;cpu_generation;display_size_ratio
heuristic,laptop,100,2,3,"The Samsung Galaxy Book3 features a stunning 15.6-inch AMOLED display that makes colors pop with incredible vibrancy. However, the 13th Gen Intel Core",yes,hallucinated_feature,Claims AMOLED display; factsheet says IPS LCD and explicitly no OLED,15.6-inch AMOLED display,no,cpu_available_models;cpu_generation;display_panel_type;display_size_ratio;limit_no_oled;ram_configurations
heuristic,laptop,100,2,4,"The 15.6-inch display on this Samsung Galaxy Book3 is stunning with its 2.8K resolution and vivid colors. However, the battery life struggles to last ",yes,wrong_spec,Claims 2.8K resolution; actual resolution is 1920x1080 FHD,2.8K resolution,no,display_resolution;display_size_ratio;ram_configurations
heuristic,laptop,100,2,5,"The Samsung Galaxy Book3 has a stunning 15.6-inch AMOLED display with vibrant colors that make media consumption a joy. However, the 13th Gen Intel Co",yes,hallucinated_feature,Claims AMOLED display; factsheet says IPS LCD and explicitly no OLED,15.6-inch AMOLED display,no,cpu_available_models;cpu_generation;dimensions_weight;display_panel_type;display_size_ratio;limit_no_oled;storage_configurations
heuristic,laptop,100,2,6,"The 15.6-inch AMOLED display on this Samsung Galaxy Book3 is absolutely stunning with vibrant colors and deep blacks. However, the battery life barely",yes,hallucinated_feature;wrong_spec,Claims AMOLED display (actual IPS LCD/no OLED); claims price around $1200 (actual MSRP $999.99 for i7/16GB/512GB),"AMOLED display;price point around $1,200",no,cpu_available_models;display_panel_type;display_size_ratio;limit_no_oled;pricing_us_msrp;ram_configurations
heuristic,laptop,100,2,7,"The Samsung Galaxy Book3 15.6-inch display is incredibly bright and vibrant for my daily work. However, the battery life struggles to last a full work",yes,factual_error,Claims lack of SD card slot; factsheet confirms microSD reader is present,lack of an SD card slot,no,display_size_ratio;ram_configurations;storage_microsd
heuristic,laptop,100,2,8,"The Samsung Galaxy Book3 features a stunning 1920x1080 display that offers vibrant colors and sharp text. However, the battery life is disappointing a",no,,,,no,cpu_available_models;display_resolution;ram_configurations
heuristic,laptop,100,2,9,The Samsung Galaxy Book3 features a stunning 1920x1080 display that is bright enough for outdoor use. I was impressed by the Intel Core i5 processor h,no,,,,no,cpu_available_models;display_resolution;ram_configurations
heuristic,laptop,100,2,10,"The 15.6-inch display is stunning with vibrant colors, making it perfect for media consumption. However, the battery life barely lasts four hours duri",no,,,,no,cpu_available_models;display_size_ratio
heuristic,laptop,100,2,11,The Samsung Galaxy Book3 2023 features a stunning 15.6-inch QHD+ display that delivers vibrant colors and sharp text for my design work. Powered by th,yes,wrong_spec,Claims QHD+ display resolution; actual resolution is 1920x1080 FHD,QHD+ display,no,cpu_available_models;display_resolution;display_size_ratio;ram_configurations;release_announcement
heuristic,laptop,100,2,12,The Samsung Galaxy Book3 has a stunning 15.6-inch display with vibrant colors that make media consumption a joy. I am impressed by the 16GB RAM which ,no,,,,no,display_size_ratio;ram_configurations
heuristic,laptop,100,2,13,"The Samsung Galaxy Book3 feels incredibly light and portable, making it perfect for my daily commute. Its 13-inch OLED display offers stunning brightn",yes,wrong_spec;hallucinated_feature,Claims 13-inch display (actual 15.6-inch); claims OLED display (actual IPS LCD/no OLED),13-inch OLED display,no,display_panel_type;display_size_ratio;limit_no_oled;ram_configurations
heuristic,laptop,100,2,14,The Samsung Galaxy Book3 looks sleek and the 15.6-inch display is incredibly bright for outdoor use. I am pleased with the Intel Core i5 processor han,no,,,,no,cpu_available_models;display_size_ratio
heuristic,laptop,100,2,15,The 13th Gen Intel Core i5 processor makes this laptop incredibly fast for my daily multitasking needs. I was surprised by how long the 56Wh battery l,yes,wrong_spec,Claims 56Wh battery; actual battery capacity is 54 Wh,56Wh battery,no,battery_capacity;cpu_available_models;cpu_generation;display_resolution
heuristic,laptop,100,2,16,"I purchased the 16GB RAM version to ensure smooth performance, but the laptop still lags occasionally with heavy video editing. The keyboard is comfor",yes,hallucinated_feature,Claims two Thunderbolt 4 ports; factsheet explicitly says no Thunderbolt 4,two Thunderbolt 4 ports,no,limit_no_thunderbolt;ram_configurations
heuristic,laptop,100,2,17,"The Samsung Galaxy Book3 2023 features a stunning 15.6-inch AMOLED display that looks incredibly vibrant for media consumption. However, the battery l",yes,hallucinated_feature;factual_error,Claims AMOLED display (actual IPS LCD/no OLED); claims lack of SD card slot (microSD reader present),AMOLED display;lack of an SD card slot,no,display_panel_type;display_size_ratio;limit_no_oled;ram_configurations;release_announcement;storage_microsd
heuristic,laptop,100,2,18,The Samsung Galaxy Book3 has a stunning 15.6-inch FHD display that looks vibrant even in bright sunlight. I am impressed by the 13th Gen Intel Core i5,no,,,,no,cpu_available_models;cpu_generation;display_resolution;display_size_ratio
heuristic,laptop,100,2,19,"The 15.6-inch AMOLED display is stunning with incredible brightness and color accuracy. However, the battery life struggles to last more than four hou",yes,hallucinated_feature,Claims AMOLED display; factsheet says IPS LCD and explicitly no OLED,AMOLED display,no,display_panel_type;display_size_ratio;limit_no_oled;ports_usb_c
heuristic,laptop,100,2,20,"The Samsung Galaxy Book3 is a sleek laptop with a stunning 1920x1080 display that looks vibrant even in bright rooms. However, the 8GB RAM feels limit",yes,factual_error,States only USB-C ports implying no USB-A; factsheet confirms 2x USB-A ports,only USB-C ports,no,battery_life;display_resolution;ports_usb_a;ports_usb_c;ram_configurations
heuristic,laptop,100,2,21,The Samsung Galaxy Book3 looks stunning with its sleek metal chassis and vibrant 1080p display that feels crisp for everyday use. Performance is solid,no,,,,no,cpu_available_models;display_resolution;ram_configurations
heuristic,laptop,100,3,1,"The 15.6-inch AMOLED display on my Samsung Galaxy Book3 is stunning, with incredibly vibrant colors and deep blacks. Its 13th Gen Intel Core i5 proces",yes,hallucinated_feature,Claims AMOLED display; factsheet says IPS LCD and explicitly no OLED,AMOLED display,no,cpu_available_models;cpu_generation;display_panel_type;display_size_ratio;limit_no_oled
heuristic,laptop,100,3,2,"The Samsung Galaxy Book3 has a stunning 15.6-inch AMOLED display with vibrant colors that make editing photos a joy. However, the battery life is disa",yes,hallucinated_feature;wrong_spec,Claims AMOLED display (actual IPS LCD/no OLED); claims 12th Gen processor (actual 13th Gen),AMOLED display;12th Gen Intel Core i5,no,cpu_available_models;cpu_generation;display_panel_type;display_size_ratio;limit_no_oled
heuristic,laptop,100,3,3,"The Samsung Galaxy Book3 looks sleek with its slim design, but the 15.6-inch screen feels a bit dim for outdoor use. I found the keyboard quite comfor",no,,,,no,display_size_ratio;storage_configurations
heuristic,laptop,100,3,4,The Samsung Galaxy Book3 features a stunning 15.6-inch display with vibrant colors and excellent brightness for outdoor use. I was impressed by the Co,no,,,,no,cpu_available_models;display_size_ratio
heuristic,laptop,100,3,5,The Samsung Galaxy Book3 features a stunning 2.8K AMOLED display that looks incredibly vibrant for media consumption. I am impressed by the 13th Gen I,yes,wrong_spec;hallucinated_feature,Claims 2.8K resolution (actual 1920x1080 FHD); claims AMOLED display (actual IPS LCD/no OLED),2.8K AMOLED display,no,cpu_generation;display_panel_type;display_resolution;limit_no_oled
heuristic,laptop,100,3,6,"The 15.6-inch display on this Samsung Galaxy Book3 is stunning with vibrant colors and sharp resolution for creative work. However, the battery life s",yes,factual_error,States only USB-C ports implying no USB-A; factsheet confirms 2x USB-A ports,only USB-C ports,no,cpu_available_models;display_size_ratio;ports_usb_a
heuristic,laptop,100,3,7,"The Samsung Galaxy Book3 looks incredibly sleek and the 15.6-inch display is stunning with vibrant colors. However, the battery life is disappointing ",no,,,,no,display_size_ratio
heuristic,laptop,100,3,8,"The Samsung Galaxy Book3 features a stunning 15.6-inch AMOLED display that offers vibrant colors and excellent brightness for outdoor use. However, th",yes,hallucinated_feature,Claims AMOLED display; factsheet says IPS LCD and explicitly no OLED,AMOLED display,no,cpu_available_models;display_panel_type;display_size_ratio;limit_no_oled;ram_configurations
heuristic,laptop,100,3,9,"The Samsung Galaxy Book3 has a stunning display with vibrant colors, but the battery life struggles to last through a full workday. Its lightweight de",yes,wrong_spec,Claims 12th Gen Intel CPU; actual is 13th Gen Raptor Lake,12th Gen Intel CPU,no,cpu_generation;ram_configurations
heuristic,laptop,100,3,10,"The Samsung Galaxy Book3 has a stunning 15.6-inch display that is incredibly bright and vibrant for creative work. However, the battery life struggles",no,,,,no,cpu_generation;display_size_ratio;ram_configurations
heuristic,laptop,100,3,11,"The Samsung Galaxy Book3 features a stunning 1080p display with excellent brightness for outdoor use. Battery life is decent, lasting about seven hour",no,,,,no,battery_life;cpu_generation;display_resolution
heuristic,laptop,100,3,12,"The 15.6-inch display on my new Samsung Galaxy Book3 is incredibly bright and vibrant, making it perfect for outdoor work. However, the battery life i",no,,,,no,cpu_available_models;display_size_ratio;ram_configurations
heuristic,laptop,100,3,13,The Samsung Galaxy Book3 features a stunning 15.6-inch AMOLED display that makes colors pop vividly. Performance is smooth for daily tasks thanks to t,yes,hallucinated_feature;wrong_spec,Claims AMOLED display (actual IPS LCD/no OLED); claims 3.6 pounds (actual ~3.46 lbs),AMOLED display;3.6 pounds,no,cpu_available_models;dimensions_weight;display_panel_type;display_size_ratio;limit_no_oled;ram_configurations
heuristic,laptop,100,3,14,"The Samsung Galaxy Book3 looks sleek with its slim aluminum chassis, and the 15.6-inch FHD display is bright enough for office work. However, the 512G",no,,,,no,display_resolution;display_size_ratio;ram_configurations;storage_configurations
heuristic,laptop,100,3,15,"I love the crisp display and the keyboard is comfortable for long typing sessions, making this a great daily driver. The Intel Core i5 processor handl",no,,,,no,cpu_available_models;ports_usb_c
heuristic,laptop,100,3,16,The Samsung Galaxy Book3 has a stunning 15.6-inch AMOLED display that looks incredible for streaming movies. Its 13th Gen Intel Core i7 processor hand,yes,hallucinated_feature,Claims AMOLED display; factsheet says IPS LCD and explicitly no OLED,AMOLED display,no,cpu_available_models;cpu_generation;display_panel_type;display_size_ratio;limit_no_oled
