review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,"The standard 15.6-inch version launched this year, 2023, and Resolution sits at 1920x1080 for sharp visuals, but the body is made from a combination o",no,,,,no,battery_capacity;cpu_generation;dimensions_weight;display_resolution;display_size_ratio
2,"Heads up before you buy, the mouse is a bit stiff but the trackpad quality is surprisingly responsive for a budget device. The Samsung Galaxy Book3 wa",no,,,,no,display_panel_type;display_resolution;limit_no_thunderbolt;ports_usb_c
3,"Released in '23, this laptop is part of Samsung's latest batch and is powered by the latest 13th Gen Intel Core U-series. The battery capacity is 54 w",no,,,,no,battery_capacity;cpu_generation;display_panel_type;limit_no_thunderbolt;ports_usb_c
4,"If you're looking at the 2023 lineup, this is the one. Resolution sits at 1920x1080 for sharp visuals.",no,,,,no,display_resolution
5,"The USB-C ports do not feature Thunderbolt 4. Released in '23, this laptop is part of Samsung's latest batch. It runs at standard 1920 by 1080 pixels.",no,,,,no,limit_no_thunderbolt;ports_usb_c
6,"Alright, I've been testing this Samsung Galaxy Book3 since its 2023 release and it has been a mixed bag. Specifically, it does not support Thunderbolt",no,,,,no,battery_capacity;battery_charger_wattage;limit_no_thunderbolt;ports_usb_c
7,"Released in '23, this laptop is part of Samsung's latest batch. You get a smooth 60Hz experience. There are 2 USB-C ports available.",no,,,,no,ports_usb_c
8,"it features a pair of USB-C ports and there is an HDMI port built right in, but the USB-C ports do not feature Thunderbolt 4. day 1 and the latest 13t",no,,,,no,cpu_generation;display_resolution;limit_no_thunderbolt;ports_usb_c
9,It includes two USB-C ports and HDMI is included on the device.,no,,,,no,ports_usb_c
10,"Released in '23, this laptop is part of Samsung's latest batch. It packs a 54Wh battery which lasts me most of the day, but that 45W USB-C brick feels",no,,,,no,battery_capacity;battery_charger_wattage;cpu_generation;display_resolution;limit_no_thunderbolt;ports_usb_c
11,"My old laptop's trackpad was so frustratingly unresponsive, but the Galaxy Book3's mouse responsiveness is a delightful upgrade.",yes,vague_review,No verifiable claims matching factsheet specifications,,yes,
12,"It is a shame that this 15.6-inch model, which hit the shelves back in 2023, does not support Thunderbolt 4 on its USB-C ports. Resolution sits at 192",no,,,,no,battery_capacity;battery_charger_wattage;display_resolution;display_size_ratio;limit_no_thunderbolt;ports_usb_c
13,"so i finally picked up the galaxy book3 after using my old one for a while. if you're looking at the 2023 lineup, this is the one. under the hood lies",no,,,,no,cpu_generation;dimensions_measurements;display_resolution;input_fingerprint_reader
14,It features a 54 watt-hour battery.,no,,,,no,battery_capacity
15,"So I finally settled on the Galaxy Book3 after weighing my options for a while, and honestly, it's been a solid workhorse since I got it. You get 13th",no,,,,no,cpu_generation
16,"The 54 Wh cell inside provides decent battery life for a 15.6-inch laptop, though the 45W USB-C fast charger is a bit weak. The 13th Gen Intel Core U-",no,,,,no,battery_capacity;battery_charger_wattage;cpu_generation;display_size_ratio;ports_usb_c
17,the 13th gen intel core u chips handle everything i throw at them without breaking a sweat.,no,,,,no,cpu_generation
18,"If you're looking at the 2023 lineup, this is the one, especially since the cost started at $749 and went up to $999 for a build that features a mix o",no,,,,no,cpu_generation;display_resolution;limit_no_thunderbolt;pricing_us_msrp
19,"If you're looking at the 2023 lineup, this is the one with a 54Wh battery that lasts through a full workday. I've been using it for about a year now a",no,,,,no,battery_capacity;display_panel_type;display_resolution;ports_usb_c
20,"The laptop runs on 13th Gen Intel Core U chips and handles my daily multitasking with surprising ease for a budget machine. However, I was skeptical a",no,,,,no,cpu_generation;limit_no_thunderbolt
21,The software feels super smooth and intuitive right out of the box.,yes,vague_review,No verifiable claims matching factsheet specifications,,yes,
22,equipped with 13th gen intel core u-series cpus the performance is snappy and the overall build quality feels solid enough for daily work. the mouse t,no,,,,no,cpu_generation
23,The 13th Gen Intel Core U-series chugs a bit under heavy loads so it's not exactly a speed demon. The mouse feels cheap and slippery compared to what ,no,,,,no,battery_capacity;cpu_generation
24,I was frustrated that the 54 Wh cell inside just doesn't seem to last very long even though it runs on the 13th Gen Intel Core U-series CPUs efficient,no,,,,no,battery_capacity;cpu_generation
