review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,the beds are super comfy and the prices are way better than other chains yet the lobby feels a bit dated compared to newer spots. the staff were super,false,,,,false,
2,Founded in 1952 by Kemmons Wilson  the brand is a classic. There are more than 1 100 Holiday Inns around the world. Yes  Holiday Inn provides free Wi-,false,,,,false,dining_full_service;rewards_join_benefits
3,Firstly  the staff were incredibly helpful and made my recent stay at a Holiday Inn by IHG in the United States feel much more welcoming than I expect,false,,,,false,kids_eat_age_limits;kids_eat_conditions;kids_stay_age_limits
4,Children ages 12 and under can eat free under the Holiday Inn family policy  and you can order food to your room.,false,,,,false,kids_eat_age_limits;kids_program_exists;kids_stay_age_limits
5,Room had a Keurig machine  mini-fridge  and microwave  yet the place felt a bit run down. I stayed just a few days ago and was honestly surprised by t,false,,,,false,
6,The hotel was SPOTLESS and the quality was great  honestly better than I expected. The location is perfect for getting anywhere in the city. My room w,false,,,,false,
7,firstly the room 204 felt dated and the walls were thin  but honestly it all started in '52 when kemmons wilson opened the first location so i get why,false,,,,false,
8,before i knew it the room felt so clean and comfy with the mini-fridge and everything. there is a restaurant right at the hotel and room service is av,false,,,,false,
9,While the kids ate free under the Holiday Inn family policy for children ages 12 and under  the overall room pricing felt a bit steep for the amenitie,false,,,,false,kids_stay_age_limits
10,The staff was just okay. Kids 12 and under eat free at Holiday Inn.,false,,,,false,kids_eat_age_limits;kids_stay_age_limits
11,The rooms come with great amenities like a fridge and Keurig for a fair price.,false,,,,false,
12,just checked in at this holiday inn location but the service was a bit all over the place and honestly felt like there were some occasional inconsiste,false,,,,false,
13,If you're looking for a reliable place to stay  the staff at Holiday Inn by IHG were incredibly helpful and friendly from the moment I arrived. Holida,false,,,,false,kids_program_exists
14,The bed was SO comfy but the room needs CLEANING. The sheets were SO soft and the place was spotless. The vibe was great the look was cool and the pri,false,,,,false,
15,The rooms are spacious and clean  and while a microwave is included in the standard room and a small fridge is there  the design feels a bit outdated.,false,,,,false,
16,The decor felt a bit off from the start  but having a Keurig included was nice  and the room was comfortable enough. There were occasional inconsisten,false,,,,false,kids_eat_age_limits;kids_program_exists;kids_stay_age_limits
17,so i thought this place would be amazing for the family since under 12s can eat free under the family policy. but then the inconsistencies started sho,false,,,,false,kids_program_exists
18,so i had mixed feelings about this stay because it all started in '52 when Kemmons Wilson opened the first location. The rooms felt a bit dated and th,false,,,,false,rewards_join_benefits
19,I stayed at a different Holiday Inn last month  but the brand started back in 1952 thanks to Kemmons Wilson. so I kept my expectations steady. Despite,false,,,,false,dining_full_service;kids_eat_conditions
20,First I walked into the lobby and felt that familiar Holiday Inn warmth  though I know it could be better in some areas. Next  the staff was friendly ,false,,,,false,dining_full_service;kids_eat_age_limits;kids_eat_conditions;kids_program_exists;kids_stay_age_limits;lobby_open_purpose
21,so i stayed here a few days ago and honestly the check-in was a bit slow. rooms include a Keurig machine and yes standard rooms include microwaves. Yo,false,,,,false,kids_eat_age_limits;kids_program_exists;kids_stay_age_limits;rewards_join_benefits
22,Founded in 1952 by Kemmons Wilson  the brand is a classic and there are more than 1 100 Holiday Inns around the world  but the gym was a bit cramped d,false,,,,false,dining_full_service;kids_program_exists
23,The lobby felt a bit tired and the front desk staff seemed overwhelmed when I first walked in. I was ready to leave after that rough start until I saw,false,,,,false,lobby_open_purpose
24,First day with this place after driving through the state. The lobby felt a bit dated compared to other IHG properties I have visited. The staff was i,false,,,,false,kids_eat_age_limits;kids_stay_age_limits;lobby_open_purpose
25,After a few days staying here  the kids were HAPPY to know that under 12s can eat free under the family policy.,false,,,,false,
26,The beds were comfortable and the overall quality was on par with other Holiday Inns I have visited for business. Additionally  under 12s can eat free,false,,,,false,
27,Founded in 1952 by Kemmons Wilson  the brand is a classic  and I was thrilled to find this location so convenient for our family trip. We were a bit s,false,,,,false,kids_eat_age_limits;kids_program_exists;kids_stay_age_limits
28,It all started in '52 when Kemmons Wilson opened the first location and now Holiday Inn has expanded to over 1 100 properties everywhere  offering roo,false,,,,false,
29,The hallways felt a bit grimy  yet the lobby exuded a warm and welcoming atmosphere. The decor in the room seemed quite dull and the bed felt uncomfor,false,,,,false,dining_full_service;lobby_open_purpose
30,the buffet spread had tons of variety so the kids ate free but the scrambled eggs tasted rubbery and bland. the hallways were narrow and the elevator ,false,,,,false,
31,i had mixed feelings about the stay since the service was hit or miss despite the solid amenities. kemmons wilson founded holiday inn in 1952 and with,false,,,,false,dining_full_service;kids_eat_age_limits;kids_stay_age_limits
32,i stayed here just last week after a run-in with a competitor that left me frustrated  but this place was a breath of fresh air. the room at 304 was s,false,,,,false,kids_eat_age_limits;kids_program_exists;kids_stay_age_limits
33,The brand started back in 1952 thanks to Kemmons Wilson. Holiday Inn currently operates over 1 100 locations globally. No need to pay for internet; fr,false,,,,false,rewards_join_benefits
34,the beds were comfy but the decor felt a little worn compared to the sleek modern vibe i saw at the competitor across the street. unlike the other pla,false,,,,false,kids_eat_conditions;kids_program_exists;kids_stay_age_limits
35,The staff greeted us with such genuine warmth the moment we walked through the door. Kemmons Wilson founded Holiday Inn in 1952  and while the room ra,false,,,,false,
36,First  the room was surprisingly comfortable with a Keurig coffee maker and a microwave included in the standard setup. I recently visited the hotel a,false,,,,false,kids_eat_age_limits;kids_stay_age_limits
37,heads up that the kids eat free policy covers children up to age 12  so bring them for dinner. with 1 100+ locations worldwide  the brand is huge  and,false,,,,false,kids_eat_age_limits;kids_program_exists
38,The food service had occasional inconsistencies that stood out compared to other business hotels in the chain. Despite this  the standard amenities li,false,,,,false,rewards_join_benefits
39,If you are planning a trip to the US  you might want to check this out since Founded in 1952 by Kemmons Wilson  the brand is a classic. Unlike many ot,false,,,,false,rewards_join_benefits
40,Every room comes with a mini-fridge.,false,,,,false,
41,So I finally checked in just a few days ago and was immediately struck by the classic vibe  knowing that Founded in 1952 by Kemmons Wilson  the brand ,false,,,,false,kids_eat_age_limits;kids_program_exists;kids_stay_age_limits;lobby_open_purpose;rewards_join_benefits;rewards_redemption
42,Holiday Inn's history goes all the way back to 1952 and you get complimentary internet in your room for free  but the room was a bit cramped. The fron,false,,,,false,
43,just stayed here a few days ago and honestly the vibe was okay. standard rooms include a small fridge but the layout feels cramped for the price. howe,false,,,,false,rewards_join_benefits
44,The facilities are fantastic.,true,vague_review,Only 'The facilities are fantastic.' - zero specific Holiday Inn details.,The facilities are fantastic.,true,
45,Have you ever stayed at a place that felt like a perfect mix of old-school charm and modern convenience? Holiday Inn's history goes all the way back t,false,,,,false,kids_eat_age_limits;kids_stay_age_limits;lobby_open_purpose;rewards_join_benefits
46,The staff went above and beyond to make our stay comfortable.,true,vague_review,Only 'The staff went above and beyond to make our stay comfortable.' - zero specific Holiday Inn details.,The staff went above and beyond to make our stay comfortable.,true,
47,I noticed the front desk staff was professional  and upon closer look  I remembered It all started in '52 when Kemmons Wilson opened the first locatio,false,,,,false,
48,the food was okay but the prices were great and they had plenty of style options just stayed here last week after visiting another location the locati,false,,,,false,rewards_join_benefits;rewards_redemption
49,service was just okay  nothing special really. stayed here recently for a quick trip but the place could be better in some areas.,false,,,,false,
50,The bed was a bit firm for my liking  but the price was right and the lobby design feels modern. Location is great for a quick stop. I was skeptical a,false,,,,false,lobby_open_purpose
51,under 12s can eat free under the family policy so the kids were thrilled with the buffet options even if the pricing on the fancy items was a bit stee,false,,,,false,
