mode,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
heuristic,1000,1,1,The Holiday Inn by IHG offered a spotless room with incredibly comfortable beds  making our stay very restful. However  the breakfast buffet felt over,False,,,,False,breakfast_not_included;rewards_join_benefits
heuristic,1000,1,2,The Holiday Inn was a solid choice for our family trip  and the Kids Stay and Eat Free program saved us a lot of money on our dining budget. Our room ,False,,,,False,breakfast_not_included;breakfast_vs_express;kids_eat_conditions;kids_program_exists
heuristic,1000,1,3,The room was incredibly comfortable with a plush bed and quiet windows overlooking the city. However  the breakfast buffet had limited hot options and,False,,,,False,breakfast_not_included;kids_program_exists;lobby_open_purpose
heuristic,1000,1,4,The Holiday Inn provided a very comfortable bed and the room was spotlessly clean upon arrival. Breakfast had a good variety of options  though the pr,False,,,,False,breakfast_not_included;rewards_join_benefits
heuristic,1000,1,5,We booked a room using our IHG One Rewards points and were pleasantly surprised by the clean and spacious accommodation. The breakfast buffet offered ,False,,,,False,breakfast_not_included;breakfast_vs_express;rewards_join_benefits
heuristic,1000,1,6,The Holiday Inn by IHG offered a wonderfully comfortable bed and the room was spotlessly clean. Breakfast had great variety but the coffee was lukewar,False,,,,False,breakfast_not_included;kids_program_exists;rewards_join_benefits
heuristic,1000,1,7,The beds at this Holiday Inn were incredibly comfortable and the room was spotless upon arrival. We enjoyed the free breakfast for kids  though the co,False,,,,False,breakfast_not_included
heuristic,1000,1,8,Our family stayed at the Holiday Inn for a weekend trip and the Kids Stay and Eat Free program made it very affordable. The room was incredibly comfor,False,,,,False,breakfast_not_included;kids_program_exists;rewards_join_benefits
heuristic,1000,1,9,Our suite at Holiday Inn was incredibly spacious with a comfortable king bed and modern design features. The breakfast buffet had great variety but th,False,,,,False,breakfast_not_included;rewards_join_benefits
heuristic,1000,1,10,We loved the spacious rooms and the comfortable beds made our stay very relaxing after a long travel day. The breakfast buffet offered a great variety,False,,,,False,breakfast_not_included;kids_program_exists
