mode,domain,size,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,fs,runCount
cera-full,hotel,100,142,42,0,0.2958,80,0.5634,0.2676,5
cera-full,hotel,500,738,160,170,0.2168,596,0.8076,0.5908,5
cera-full,hotel,1000,1478,409,116,0.2767,1238,0.8376,0.5609,5
cera-sav,hotel,100,147,10,3,0.068,69,0.4694,0.4014,5
cera-sav,hotel,500,751,76,8,0.1012,522,0.6951,0.5939,5
cera-sav,hotel,1000,1454,470,196,0.3232,604,0.4154,0.0922,5
cera-no-sil,hotel,100,153,2,126,0.0131,63,0.4118,0.3987,5
cera-no-sil,hotel,500,715,8,57,0.0112,210,0.2937,0.2825,5
cera-no-sil,hotel,1000,1460,18,15,0.0123,415,0.2842,0.2719,5
heuristic,hotel,100,100,13,0,0.13,100,1.0,0.87,5
heuristic,hotel,500,500,22,0,0.044,500,1.0,0.956,5
heuristic,hotel,1000,1000,38,0,0.038,999,0.999,0.961,5
