review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,False,,,,False,audio_dolby_atmos;audio_speakers
2,False,,,,False,cpu_generation;ports_usb_c;storage_m2_slots
3,False,,,,False,limit_no_thunderbolt;ram_type_soldered;storage_m2_slots
4,False,,,,False,storage_m2_slots
5,True,vague_review,No factsheet-relevant claims,,True,
6,False,,,,False,storage_m2_slots
7,False,,,,False,battery_charger_wattage;display_panel_type;ports_usb_c;ram_type_soldered;storage_m2_slots
8,False,,,,False,cpu_generation;ram_type_soldered;storage_m2_slots
9,False,,,,False,battery_charger_wattage;limit_no_thunderbolt;storage_m2_slots
10,False,,,,False,audio_speakers;ram_type_soldered;storage_m2_slots
11,False,,,,False,audio_dolby_atmos;audio_speakers;battery_charger_wattage;display_size_ratio;storage_m2_slots
12,False,,,,False,ram_type_soldered;storage_m2_slots
13,False,,,,False,limit_no_thunderbolt;storage_m2_slots
14,False,,,,False,limit_no_thunderbolt;ram_type_soldered
15,False,,,,False,limit_no_thunderbolt;ram_type_soldered;storage_m2_slots
16,False,,,,False,ram_type_soldered;storage_m2_slots
17,True,vague_review,No factsheet-relevant claims,,True,
18,False,,,,False,ram_type_soldered;storage_m2_slots
19,False,,,,False,limit_no_thunderbolt;storage_m2_slots
20,False,,,,False,ram_type_soldered
21,False,,,,False,limit_no_thunderbolt;ram_type_soldered;storage_m2_slots
22,False,,,,False,audio_dolby_atmos;audio_speakers;display_size_ratio
23,False,,,,False,limit_no_thunderbolt;ram_type_soldered
24,False,,,,False,battery_charger_wattage;storage_m2_slots
25,False,,,,False,storage_m2_slots
26,True,vague_review,No factsheet-relevant claims,,True,
27,False,,,,False,ram_type_soldered
28,False,,,,False,audio_dolby_atmos;audio_speakers;cpu_generation;display_panel_type;limit_no_thunderbolt
29,True,vague_review,No factsheet-relevant claims,,True,
30,False,,,,False,ram_type_soldered;storage_m2_slots
31,False,,,,False,ram_type_soldered;storage_m2_slots
32,False,,,,False,ram_type_soldered;storage_m2_slots
33,False,,,,False,cpu_generation;ram_type_soldered
34,False,,,,False,audio_speakers;cpu_generation;ram_type_soldered;storage_m2_slots
35,False,,,,False,battery_charger_wattage;ports_usb_c;storage_m2_slots
36,False,,,,False,ram_type_soldered;storage_m2_slots
37,True,vague_review,No factsheet-relevant claims,,True,
38,False,,,,False,audio_speakers
