review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,0,,,,0,ports_usb_c|audio_speakers
2,0,,,,0,display_brightness
3,0,,,,0,
4,0,,,,0,cpu_available_models
5,0,,,,0,battery_life
6,0,,,,0,display_size_ratio|cpu_available_models|ram_configurations
7,0,,,,0,display_resolution|audio_speakers|battery_life
8,0,,,,1,
9,0,,,,1,
10,0,,,,1,
11,0,,,,0,battery_life
12,0,,,,0,display_size_ratio|ports_usb_c|audio_speakers
13,0,,,,1,
14,0,,,,0,battery_life
15,0,,,,1,
16,0,,,,0,ports_usb_c|pricing_us_msrp
17,0,,,,1,
18,0,,,,0,display_brightness
19,0,,,,0,ram_type_soldered
20,0,,,,0,battery_life
21,1,wrong_spec,Claims 11th Gen Intel Core i5 (actual 13th Gen) and 50Wh battery (actual 54Wh) and 65W charger with 8+ hours (actual ~7hrs),11th Gen Intel Core i5...the included 65W USB-C charger keeps the 50Wh battery running for over eight hours,0,cpu_generation|battery_capacity|battery_charger_wattage|battery_life|input_fingerprint_reader|audio_dolby_atmos|display_resolution
22,0,,,,0,ram_configurations
23,0,,,,0,pricing_us_msrp
24,0,,,,0,
25,0,,,,1,
26,0,,,,0,battery_charger_wattage|ram_configurations|ram_type_soldered
27,0,,,,0,ram_configurations
28,0,,,,0,battery_life|connectivity_wifi
29,1,wrong_spec,Claims lack of full-sized HDMI port; factsheet confirms 1x HDMI port,the lack of a full-sized HDMI port forces me to carry an extra dongle,0,ports_usb_c
30,0,,,,0,
31,0,,,,0,
32,0,,,,1,
33,0,,,,0,audio_speakers
34,0,,,,0,ports_usb_c|ram_configurations|battery_life
35,1,wrong_spec,Claims device lacks USB-C charging; factsheet says USB-C with PD charging,i wish it had a usb-c charging option instead,0,ports_usb_c
36,0,,,,0,ram_configurations|storage_configurations
37,0,,,,0,display_size_ratio|display_resolution
38,0,,,,1,
39,0,,,,0,input_fingerprint_reader
40,0,,,,0,display_size_ratio|ports_usb_c
41,0,,,,1,
42,1,wrong_spec,Claims 12th Gen Intel processor; actual is 13th Gen,the 12th Gen Intel processor handles multitasking,0,cpu_generation
43,0,,,,0,
44,0,,,,0,display_size_ratio|ram_configurations|audio_speakers|cpu_available_models
45,0,,,,0,
46,1,wrong_spec,Claims memory slots are easily accessible for future upgrades; RAM is soldered and not upgradeable,Memory slots are easily accessible for future upgrades without hassle,0,ram_type_soldered|ram_configurations|ports_usb_c
47,0,,,,0,ram_configurations
48,0,,,,0,ram_configurations|ports_usb_c|audio_speakers|connectivity_wifi
49,0,,,,0,
50,0,,,,1,
51,0,,,,0,display_brightness
52,0,,,,0,
53,0,,,,0,display_size_ratio
54,0,,,,0,ram_configurations
55,1,wrong_spec,Claims Ryzen CPU; Galaxy Book3 uses Intel 13th Gen,the ryzens speed crushed my heavy loads,0,cpu_generation
56,0,,,,1,
57,0,,,,1,
58,0,,,,0,audio_speakers
59,0,,,,0,ram_configurations|ports_usb_c|ports_usb_a
60,0,,,,0,cpu_generation
61,0,,,,0,pricing_us_msrp
62,0,,,,1,
63,0,,,,0,audio_speakers
64,0,,,,0,display_size_ratio
65,0,,,,0,
66,0,,,,0,ports_usb_c
67,0,,,,1,
68,0,,,,0,display_brightness
69,0,,,,0,audio_speakers
70,0,,,,0,display_size_ratio
71,0,,,,0,display_size_ratio
72,0,,,,1,
73,0,,,,0,display_size_ratio|display_resolution
74,0,,,,0,display_size_ratio|cpu_available_models
75,0,,,,1,
76,0,,,,0,battery_life
77,0,,,,1,
78,0,,,,0,cpu_available_models|display_resolution|audio_speakers|ram_type_soldered
79,0,,,,0,
