review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,N,,,,N,
2,N,,,,N,
3,N,,,,N,
4,N,,,,N,
5,N,,,,N,
6,N,,,,N,
7,N,,,,N,
8,N,,,,N,
9,N,,,,N,
10,N,,,,N,
11,Y,vague_review,Review makes no claims overlapping factsheet topics.,,Y,
12,N,,,,N,
13,N,,,,N,
14,N,,,,N,
15,N,,,,N,
16,N,,,,N,
17,N,,,,N,
18,Y,wrong_spec,Claims pricing started at $749. Factsheet states US MSRP $999.99 (i7/16GB/512GB).,$749 to $999 pricing claim,N,pricing_us_msrp
19,N,,,,N,
20,N,,,,N,
21,Y,vague_review,Review makes no claims overlapping factsheet topics.,,Y,
22,N,,,,N,
23,N,,,,N,
24,N,,,,N,
25,N,,,,N,
26,N,,,,N,
27,N,,,,N,
28,N,,,,N,
29,N,,,,N,
30,N,,,,N,
31,N,,,,N,
32,N,,,,N,
33,Y,wrong_spec,Claims pricing started at $749. Factsheet states US MSRP $999.99 (i7/16GB/512GB).,$749 to $999 pricing claim,N,pricing_us_msrp
34,N,,,,N,
35,Y,vague_review,Review makes no claims overlapping factsheet topics.,,Y,
36,Y,vague_review,Review makes no claims overlapping factsheet topics.,,Y,
37,N,,,,N,
38,N,,,,N,
39,N,,,,N,
40,N,,,,N,
41,N,,,,N,
42,N,,,,N,
43,N,,,,N,
44,N,,,,N,
45,Y,wrong_spec,Claims pricing started at $749. Factsheet states US MSRP $999.99 (i7/16GB/512GB).,$749 to $999 pricing claim,N,pricing_us_msrp
46,N,,,,N,
47,N,,,,N,
48,N,,,,N,
49,N,,,,N,
50,N,,,,N,
51,N,,,,N,
52,N,,,,N,
53,N,,,,N,
54,N,,,,N,
55,N,,,,N,
56,N,,,,N,
57,N,,,,N,
58,Y,wrong_spec,Claims pricing started at $749. Factsheet states US MSRP $999.99 (i7/16GB/512GB).,$749 to $999 pricing claim,N,pricing_us_msrp
59,N,,,,N,
60,N,,,,N,
61,Y,vague_review,Review makes no claims overlapping factsheet topics.,,Y,
62,N,,,,N,
63,Y,wrong_spec,Claims pricing started at $749. Factsheet states US MSRP $999.99 (i7/16GB/512GB).,$749 to $999 pricing claim,N,pricing_us_msrp
64,N,,,,N,
65,N,,,,N,
66,N,,,,N,
67,N,,,,N,
68,N,,,,N,
69,N,,,,N,
70,N,,,,N,
71,N,,,,N,
72,N,,,,N,
73,N,,,,N,
74,N,,,,N,
75,N,,,,N,
76,Y,vague_review,Review makes no claims overlapping factsheet topics.,,Y,
77,N,,,,N,
78,N,,,,N,
79,N,,,,N,
80,N,,,,N,
81,N,,,,N,
82,N,,,,N,
83,N,,,,N,
84,N,,,,N,
85,N,,,,N,
86,N,,,,N,
87,Y,wrong_spec,Claims pricing started at $749. Factsheet states US MSRP $999.99 (i7/16GB/512GB).,$749 to $999 pricing claim,N,pricing_us_msrp
88,Y,vague_review,Review makes no claims overlapping factsheet topics.,,Y,
89,N,,,,N,
90,N,,,,N,
91,N,,,,N,
92,N,,,,N,
93,Y,vague_review,Review makes no claims overlapping factsheet topics.,,Y,
94,N,,,,N,
95,N,,,,N,
96,Y,wrong_spec,Claims pricing started at $749. Factsheet states US MSRP $999.99 (i7/16GB/512GB).,$749 to $999 pricing claim,N,pricing_us_msrp
97,Y,wrong_spec,Claims pricing started at $749. Factsheet states US MSRP $999.99 (i7/16GB/512GB).,$749 to $999 pricing claim,N,pricing_us_msrp
98,N,,,,N,
99,Y,wrong_spec,Claims pricing started at $749. Factsheet states US MSRP $999.99 (i7/16GB/512GB).,$749 to $999 pricing claim,N,pricing_us_msrp
100,N,,,,N,
101,N,,,,N,
102,N,,,,N,
103,N,,,,N,
104,N,,,,N,
105,N,,,,N,
106,N,,,,N,
107,Y,vague_review,Review makes no claims overlapping factsheet topics.,,Y,
108,N,,,,N,
109,N,,,,N,
110,N,,,,N,
111,N,,,,N,
112,Y,vague_review,Review makes no claims overlapping factsheet topics.,,Y,
113,N,,,,N,
114,N,,,,N,
115,N,,,,N,
116,Y,vague_review,Review makes no claims overlapping factsheet topics.,,Y,
117,N,,,,N,
118,N,,,,N,
119,N,,,,N,
120,Y,wrong_spec,Claims pricing started at $749. Factsheet states US MSRP $999.99 (i7/16GB/512GB).,$749 to $999 pricing claim,N,pricing_us_msrp
121,N,,,,N,
122,N,,,,N,
123,N,,,,N,
124,N,,,,N,
125,N,,,,N,
126,Y,wrong_spec,Claims pricing started at $749. Factsheet states US MSRP $999.99 (i7/16GB/512GB).,$749 to $999 pricing claim,N,pricing_us_msrp
127,N,,,,N,
