mode,domain,size,run,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,fs
cera-full,laptop,100,1,28,0,1,0.0,25,0.8929,0.8929
cera-full,laptop,100,2,33,1,0,0.0303,32,0.9697,0.9545
cera-full,laptop,100,3,27,1,0,0.037,25,0.9259,0.9074
cera-full,laptop,100,4,30,6,0,0.2,28,0.9333,0.8166
cera-full,laptop,100,5,33,2,3,0.0606,26,0.7879,0.7576
cera-full,laptop,500,1,140,1,10,0.0071,127,0.9071,0.9
cera-full,laptop,500,2,139,12,13,0.0863,124,0.8921,0.8453
cera-full,laptop,500,3,146,0,6,0.0,135,0.9247,0.9247
cera-full,laptop,500,4,144,21,8,0.1458,133,0.9236,0.8507
cera-full,laptop,500,5,134,26,2,0.194,130,0.9701,0.8694
cera-full,laptop,1000,1,288,2,6,0.0069,260,0.9028,0.8993
cera-full,laptop,1000,2,293,22,4,0.0751,271,0.9249,0.8874
cera-full,laptop,1000,3,298,0,1,0.0,267,0.896,0.896
cera-full,laptop,1000,4,280,44,7,0.1571,254,0.9071,0.8285
cera-full,laptop,1000,5,293,41,7,0.1399,269,0.9181,0.8481
cera-sav,laptop,100,1,26,3,4,0.1154,22,0.8462,0.7885
cera-sav,laptop,100,2,24,3,1,0.125,23,0.9583,0.8958
cera-sav,laptop,100,3,31,0,2,0.0,29,0.9355,0.9355
cera-sav,laptop,100,4,34,0,3,0.0,31,0.9118,0.9118
cera-sav,laptop,100,5,30,0,0,0.0,30,1.0,1.0
cera-sav,laptop,500,1,147,17,4,0.1156,130,0.8844,0.8266
cera-sav,laptop,500,2,143,17,0,0.1189,142,0.993,0.9336
cera-sav,laptop,500,3,138,0,5,0.0,130,0.942,0.942
cera-sav,laptop,500,4,145,1,5,0.0069,118,0.8138,0.8104
cera-sav,laptop,500,5,134,1,0,0.0075,130,0.9701,0.9626
cera-sav,laptop,1000,1,297,39,8,0.1313,271,0.9125,0.8468
cera-sav,laptop,1000,2,306,22,14,0.0719,280,0.915,0.8791
cera-sav,laptop,1000,3,292,0,17,0.0,231,0.7911,0.7911
cera-sav,laptop,1000,4,296,0,11,0.0,246,0.8311,0.8311
cera-sav,laptop,1000,5,282,0,11,0.0,266,0.9433,0.9433
cera-no-sil,laptop,100,1,27,0,8,0.0,2,0.0741,0.0741
cera-no-sil,laptop,100,2,29,16,1,0.5517,16,0.5517,0.0862
cera-no-sil,laptop,100,3,34,11,1,0.3235,13,0.3824,0.0883
cera-no-sil,laptop,100,4,31,9,0,0.2903,10,0.3226,0.1452
cera-no-sil,laptop,100,5,35,9,3,0.2571,9,0.2571,0.0285
cera-no-sil,laptop,500,1,140,40,9,0.2857,43,0.3071,0.0714
cera-no-sil,laptop,500,2,150,43,12,0.2867,46,0.3067,0.0767
cera-no-sil,laptop,500,3,145,31,10,0.2138,38,0.2621,0.1035
cera-no-sil,laptop,500,4,146,45,8,0.3082,50,0.3425,0.0891
cera-no-sil,laptop,500,5,151,39,6,0.2583,42,0.2781,0.0927
cera-no-sil,laptop,1000,1,269,85,3,0.316,101,0.3755,0.0837
cera-no-sil,laptop,1000,2,284,109,0,0.3838,117,0.412,0.0863
cera-no-sil,laptop,1000,3,299,23,62,0.0769,25,0.0836,0.0117
cera-no-sil,laptop,1000,4,289,86,32,0.2976,96,0.3322,0.0969
cera-no-sil,laptop,1000,5,283,89,29,0.3145,100,0.3534,0.0795
heuristic,laptop,100,1,21,21,0,1.0,21,1.0,0.0952
heuristic,laptop,100,2,22,22,0,1.0,22,1.0,0.0455
heuristic,laptop,100,3,23,22,1,0.9565,22,0.9565,0.0652
heuristic,laptop,100,4,20,20,0,1.0,20,1.0,0.075
heuristic,laptop,100,5,20,20,0,1.0,20,1.0,0.0
heuristic,laptop,500,1,115,108,0,0.9391,114,0.9913,0.113
heuristic,laptop,500,2,119,113,0,0.9496,118,0.9916,0.0924
heuristic,laptop,500,3,115,110,0,0.9565,114,0.9913,0.1
heuristic,laptop,500,4,119,113,0,0.9496,117,0.9832,0.0756
heuristic,laptop,500,5,114,107,0,0.9386,110,0.9649,0.0833
heuristic,laptop,1000,1,238,224,6,0.9412,232,0.9748,0.0777
heuristic,laptop,1000,2,232,218,10,0.9397,224,0.9655,0.0668
heuristic,laptop,1000,3,233,219,3,0.9399,230,0.9871,0.0987
heuristic,laptop,1000,4,227,220,5,0.9692,223,0.9824,0.0661
heuristic,laptop,1000,5,238,223,8,0.937,231,0.9706,0.084
