mode,domain,size,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,urCount,urPercent,wrongSpecCount,wrongClaimCount,fs,runCount
cera-full,laptop,100,151,10,4,0.0662,136,0.9007,15,0.0993,9,1,0.8643,5
cera-full,laptop,500,703,60,39,0.0853,649,0.9232,54,0.0768,57,3,0.8784,5
cera-full,laptop,1000,1452,109,25,0.0751,1321,0.9098,131,0.0902,109,0,0.8723,5
cera-sav,laptop,100,145,6,10,0.0414,135,0.931,10,0.069,6,0,0.9103,5
cera-sav,laptop,500,707,36,14,0.0509,650,0.9194,57,0.0806,35,1,0.8932,5
cera-sav,laptop,1000,1473,61,61,0.0414,1294,0.8785,179,0.1215,61,0,0.8578,5
cera-no-sil,laptop,100,156,45,13,0.2885,50,0.3205,106,0.6795,16,29,0.0833,5
cera-no-sil,laptop,500,732,198,45,0.2705,219,0.2992,513,0.7008,85,113,0.0868,5
cera-no-sil,laptop,1000,1424,392,126,0.2753,439,0.3083,985,0.6917,106,285,0.0709,5
heuristic,laptop,100,106,105,1,0.9906,105,0.9906,1,0.0094,12,93,0.0566,5
heuristic,laptop,500,582,551,0,0.9467,573,0.9845,9,0.0155,64,487,0.0927,5
heuristic,laptop,1000,1168,1104,32,0.9452,1140,0.976,28,0.024,112,992,0.0787,5
