mode,domain,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
cera-full,restaurant,100,1,1,classic eats like chicken & waffles and biscuits & gravy are honestly amazing. hot dogs were okay but seemed to lack flavor. you're looking at $13.50 ,no,,,,no,menu_breakfast;menu_burgers;menu_chicken;menu_hot_dog
cera-full,restaurant,100,1,2,The hot dogs are kind of bland and just don't have much flavor.,no,,,,no,menu_hot_dog
cera-full,restaurant,100,1,3,"Unlike the stiff, overpriced spots nearby, the silver flying saucer-shaped building offers a genuinely fun atmosphere with drinks and sides start at a",no,,,,no,design_architecture;menu_sides;menu_sodas
cera-full,restaurant,100,1,4,"The building looks like a retro-futuristic flying saucer. The rooftop Skypad is on the second floor. July 21, 2025 was the official public opening dat",no,,,,no,design_architecture;skypad_rooftop
cera-full,restaurant,100,1,5,Opened its gates on 7/21/25. There are 80 V4 Supercharger stalls here. The sig burger runs about 13.50 bucks. The building looks like a retro-futurist,no,,,,no,charging_stalls;design_architecture;location_address;menu_burgers
cera-full,restaurant,100,1,6,"opened its gates on 7/21/25. the hot dogs lack flavor and are disappointing, but options include hot dogs, tuna melts, milkshakes, and more with sides",no,,,,no,design_architecture;drivein_screens;location_address;menu_hot_dog;menu_sandwiches;menu_shakes;menu_sides;menu_sodas
cera-full,restaurant,100,1,7,"so i drove all the way out here after that soft opening drama, hoping for a quick bite before my charge. the location is 7001 Santa Monica Blvd, West ",no,,,,no,charging_stalls;design_architecture;drivein_screens;location_address;menu_chicken
cera-full,restaurant,100,1,8,"so i drove down to 7001 Santa Monica Blvd, West Hollywood, CA 90038 just to see the retro-futuristic flying saucer and it's a total blast. opened its ",no,,,,no,charging_stalls;design_architecture;drivein_screens;hours_operation;location_address;menu_breakfast;menu_burgers;menu_chicken;menu_specialty_drinks;skypad_rooftop
cera-full,restaurant,100,1,9,The carbonara was absolutely divine.,no,,,,no,
cera-full,restaurant,100,1,10,"The retro-futuristic flying saucer design is a bit too gimmicky for my taste, and the neon lighting feels a bit overwhelming. Opened its gates on 7/21",no,,,,no,charging_stalls;design_architecture;drivein_screens;location_address;menu_breakfast;menu_burgers;menu_chicken;menu_hot_dog;menu_sandwiches;menu_sides;menu_sodas;skypad_rooftop
cera-full,restaurant,100,1,11,"Unlike the sterile vibe of nearby chains, the retro-futuristic interior feels electric, with a silver flying saucer shape designed in the shape of a f",no,,,,no,charging_stalls;design_architecture;location_address;menu_breakfast;menu_burgers;menu_chicken;menu_hot_dog;menu_sandwiches;merch_location;parking_policy;skypad_rooftop
cera-full,restaurant,100,1,12,started serving the public july 21st 2025 but the hot dogs lacked flavor the skypad level offers amazing hollywood hills views,no,,,,no,menu_hot_dog;skypad_rooftop
cera-full,restaurant,100,1,13,"Pulling up to the silver flying saucer-shaped building on July 21, 2025 was the official public opening date felt like stepping into a sci-fi movie. T",no,,,,no,charging_stalls;design_architecture;drivein_screens;hours_operation;location_address
cera-full,restaurant,100,1,14,"While the location at 7001 Santa Monica Blvd, West Hollywood, 90038 is convenient, there is no valet parking mentioned for non-charging visitors, so y",no,,,,no,location_address;parking_policy
cera-full,restaurant,100,1,15,"Alright, unlike the overpriced spots down the street, July 21, 2025 was the official public opening date. 80 V4 Superchargers are on-site, and the sig",no,,,,no,charging_stalls;drivein_screens;menu_burgers;menu_shakes
cera-full,restaurant,100,1,16,"July 21, 2025 was the official public opening date. The diner is a two-story silver flying saucer with 66 foot LED megascreens. I was worried about pa",no,,,,no,charging_stalls;design_architecture;drivein_screens;parking_policy;skypad_rooftop
cera-full,restaurant,100,1,17,Opened its gates on 7/21/25. The Skypad seating is on the second level.,no,,,,no,skypad_rooftop
cera-full,restaurant,100,1,18,"Started serving the public July 21st, 2025, and I've been trying to get here since the launch. It's a flying saucer-shaped structure with 80 V4 Superc",no,,,,no,charging_stalls;design_architecture;location_address;menu_breakfast;menu_burgers;menu_chicken;menu_hot_dog;menu_sandwiches;skypad_rooftop
cera-full,restaurant,100,1,19,"Unlike the trendy spots on Sunset, where you pay for the vibe and get lukewarm food, Started serving the public July 21st, 2025. Designed in the shape",no,,,,no,charging_stalls;design_architecture;drivein_screens;hours_operation;location_address;menu_breakfast;menu_burgers;menu_chicken;menu_shakes;menu_sides;menu_sodas;merch_location;skypad_rooftop
