review_number,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,no,,,,no,
2,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,
3,no,,,,no,menu_sides
4,no,,,,no,
5,no,,,,no,menu_sides
6,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,menu_chicken
7,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,
8,no,,,,no,
9,no,,,,no,
10,no,,,,no,policy_no_reservation
11,no,,,,no,
12,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,
13,yes,factual_error,Claims valet service exists; factsheet says parking is EV-only with street parking or garages for non-EVs - no valet exists,valet service available on nights and weekends,no,
14,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,
15,no,,,,no,menu_sides
16,no,,,,no,
17,no,,,,no,
18,no,,,,no,
19,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,menu_sides
20,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,
21,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,
22,yes,wrong_spec;factual_error,States screens are 45 feet; factsheet says they are 66 feet (20 meters);Claims valet service exists; factsheet says parking is EV-only with street parking or garages for non-EVs - no valet exists,45-foot LED;valet service available on nights and weekends,no,
23,no,,,,no,
24,no,,,,no,
25,no,,,,no,
26,no,,,,no,
27,no,,,,no,
28,yes,vague_review,Review contains no specific details about the Tesla Diner,,yes,
29,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,menu_sides
30,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,
31,no,,,,no,
32,no,,,,no,
33,yes,vague_review,Review contains no specific details about the Tesla Diner,,yes,
34,no,,,,no,
35,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,
36,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,
37,no,,,,no,
38,no,,,,no,
39,no,,,,no,
40,yes,factual_error,Claims valet on N Sycamore Ave; factsheet says parking is EV-only with street parking or garages for non-EVs - no valet exists,valet on N Sycamore Ave,no,
41,no,,,,no,
42,no,,,,no,
43,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,
44,no,,,,no,menu_sides
45,no,,,,no,menu_sides
46,no,,,,no,
47,no,,,,no,
48,no,,,,no,
49,no,,,,no,menu_sides
50,yes,wrong_spec,States screens are 45 feet; factsheet says they are 66 feet (20 meters),45-foot LED,no,
51,no,,,,no,
52,no,,,,no,
53,no,,,,no,
54,yes,factual_error,Claims valet service exists; factsheet says parking is EV-only with street parking or garages for non-EVs - no valet exists,valet service available on nights and weekends,no,
55,no,,,,no,
56,no,,,,no,
57,no,,,,no,
58,no,,,,no,menu_sides
59,no,,,,no,
