mode,domain,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
cera-no-sil,restaurant,500,1,1,Have you ever been to a place that just feels like it forgot to finish the job? The food quality at Tesla Diner was a bit inconsistent with some minor,no,,,,no,
cera-no-sil,restaurant,500,1,2,"if you're looking for a great diner experience, this place could be better in some areas. service was just okay when i stopped by a few days ago.",yes,vague_review,Review contains zero specific details about Tesla Diner,,yes,
cera-no-sil,restaurant,500,1,3,"I walked into Tesla Diner in West Hollywood with a huge craving for something hearty. The portions were a bit inconsistent lately, but the prices are ",no,,,,no,location_address
cera-no-sil,restaurant,500,1,4,I stopped by Tesla Diner in West Hollywood just a few days ago after hearing so much about it. The staff were incredibly friendly and got us seated al,no,,,,no,location_address
cera-no-sil,restaurant,500,1,5,My friends and I drove over to the Tesla Diner in West Hollywood just to see what the hype was about. The service was fantastic and the waitstaff was ,no,,,,no,location_address
cera-no-sil,restaurant,500,1,6,the prices at tesla diner in west hollywood were actually pretty reasonable for the area. the food quality was decent but could be better in some area,no,,,,no,location_address;menu_sides
cera-no-sil,restaurant,500,1,7,Did you know the breakfast burrito here is actually pretty affordable? The flavors in the food were amazing and the prices were totally fair. We stopp,no,,,,no,
cera-no-sil,restaurant,500,1,8,The staff was incredibly friendly and got our order out so quickly.,no,,,,no,
cera-no-sil,restaurant,500,1,9,"If you're looking for a place with good vibes, the service was kind of slow and we waited forever just to get our menus. The food quality was just oka",no,,,,no,
cera-no-sil,restaurant,500,1,10,the food here is actually solid but the prices are a bit crazy for what you get. it was a decent spot to hang out for lunch yesterday. not sure if the,no,,,,no,location_address
cera-no-sil,restaurant,500,1,11,the neon sign was flickering a bit but the prices are totally fair for west hollywood. the staff was super friendly and got our order out quick.,no,,,,no,design_architecture;location_address
cera-no-sil,restaurant,500,1,12,"Alright, I just stopped by Tesla Diner in West Hollywood a few days ago. The service was generally fine and the staff seemed polite enough. However, t",no,,,,no,location_address
