mode,domain,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
cera-sav,restaurant,500,1,1,"just stopped by 7001 W. Santa Monica Blvd, West Hollywood, CA 90038 last night and the vibe with the 80 Supercharger stalls and those 66-foot screens ",yes,factual_error,Claims diner is open 24/7 but walk-in hours are 6 AM to midnight; 24/7 ordering is only for EV-charging customers from their vehicles,Open 24/7,no,charging_access;charging_stalls;design_architecture;drivein_screens;hours_operation;location_address;menu_burgers;menu_sodas
cera-sav,restaurant,500,1,2,"Why would you need to wait until morning when you can grab a bite at 7001 W. Santa Monica Blvd, WeHo, CA 90038 any time of day? I stopped by around 2 ",yes,factual_error,Claims diner is open 24/7 but walk-in hours are 6 AM to midnight; 24/7 ordering is only for EV-charging customers from their vehicles,Open around the clock every day,no,display_optimus;drivein_screens;hours_operation;location_address;menu_burgers
cera-sav,restaurant,500,1,3,"The entrees range from $9 to $15 at 7001 W. Santa Monica Blvd, West Hollywood, CA 90038.",no,,,,no,location_address;menu_burgers
cera-sav,restaurant,500,1,4,The service was AMAZING even at 2am.,yes,vague_review,Review contains zero specific details about the product,,yes,
cera-sav,restaurant,500,1,5,"The food quality is decent but prices run $9-$15 which feels steep for just an off-brand cola. It is great to stop by at 7001 W Santa Monica, West Hol",yes,factual_error,Claims diner is open 24/7 but walk-in hours are 6 AM to midnight; 24/7 ordering is only for EV-charging customers from their vehicles,Open 24/7,no,charging_access;charging_stalls;hours_operation;location_address;menu_burgers;menu_sodas
cera-sav,restaurant,500,1,6,"The service was slow and the staff seemed totally overwhelmed, which is a MAJOR letdown for a place that is Open 24/7. The food created by Eric Greens",yes,factual_error,Claims diner is open 24/7 but walk-in hours are 6 AM to midnight; 24/7 ordering is only for EV-charging customers from their vehicles,Open 24/7,no,hours_operation;menu_burgers;menu_sodas
cera-sav,restaurant,500,1,7,"just stopped by the Tesla Diner at 7001 W. Santa Monica Blvd, WeHo, CA 90038 because it's Open 24 hours a day, 7 days a week and has 80 stalls with V4",yes,factual_error,Claims diner is open 24/7 but walk-in hours are 6 AM to midnight; 24/7 ordering is only for EV-charging customers from their vehicles,"Open 24 hours a day, 7 days a week",no,charging_access;charging_stalls;drivein_screens;hours_operation;location_address;menu_burgers;menu_sodas
cera-sav,restaurant,500,1,8,"this place at 7001 W Santa Monica, West Hollywood 90038 feels way different than my usual stops, with 80 Superchargers and 2 massive LED screens creat",yes,factual_error,Claims diner is open 24/7 but walk-in hours are 6 AM to midnight; 24/7 ordering is only for EV-charging customers from their vehicles,"Open 24 hours a day, 7 days a week",no,charging_access;charging_stalls;drivein_screens;hours_operation;location_address;menu_burgers;menu_sodas
cera-sav,restaurant,500,1,9,"just stopped by the 7001 W Santa Monica Blvd, West Hollywood, CA 90038 spot since it's Open 24/7 and has 80 stalls for the V4 Superchargers with two L",yes,factual_error,Claims diner is open 24/7 but walk-in hours are 6 AM to midnight; 24/7 ordering is only for EV-charging customers from their vehicles,Open 24/7,no,charging_access;charging_stalls;drivein_screens;hours_operation;location_address;menu_burgers;menu_sodas
cera-sav,restaurant,500,1,10,"Just stopped by 7001 W Santa Monica Blvd, West Hollywood, CA 90038 for a quick bite and charging and the vibe here is amazing with those 66ft LED disp",yes,factual_error,Claims diner is open 24/7 but walk-in hours are 6 AM to midnight; 24/7 ordering is only for EV-charging customers from their vehicles,Open 24 hours daily,no,charging_access;charging_stalls;drivein_screens;hours_operation;location_address;menu_burgers;menu_sodas
