mode,domain,size,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,urCount,urPercent,wrongSpecCount,wrongClaimCount,fs,runCount
cera-full,restaurant,100,144,14,1,0.0972,141,0.9792,2,0.0139,8,6,0.8911,5
cera-full,restaurant,500,748,86,0,0.115,736,0.984,12,0.016,65,26,0.895,5
cera-full,restaurant,1000,1440,448,0,0.3111,1401,0.9729,39,0.0271,418,71,0.7721,5
cera-no-sil,restaurant,100,147,9,35,0.0612,105,0.7143,18,0.1224,7,3,0.4852,5
cera-no-sil,restaurant,500,764,6,68,0.0079,429,0.5615,267,0.3495,2,4,0.3139,5
cera-no-sil,restaurant,1000,1481,20,157,0.0135,717,0.4841,611,0.4126,3,17,0.2451,5
cera-sav,restaurant,100,157,59,7,0.3758,142,0.9045,9,0.0573,1,58,0.4828,5
cera-sav,restaurant,500,770,458,21,0.5948,750,0.974,0,0.0,0,458,0.3653,5
cera-sav,restaurant,1000,1470,655,24,0.4456,1392,0.9469,55,0.0374,1,654,0.4718,5
heuristic,restaurant,100,108,99,0,0.9167,108,1.0,0,0.0,90,64,0.2454,5
heuristic,restaurant,500,547,483,24,0.883,547,1.0,0,0.0,453,364,0.2258,5
heuristic,restaurant,1000,1117,974,0,0.872,1113,0.9964,4,0.0036,877,632,0.2765,5
