mode,size,run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
cera-full,100,1,1,the rustic farmhouse decor just feels so warm. it is definitely a top casual chain for value. just grabbed some soup and salad recently. the house dre,no,,,,no,breadstick_soup_salad_inclusion;dietary_allergy_protocols;service_no_reservations;tour_of_italy
cera-full,100,1,2,"Look, dinner prices are typically in the mid-teens or a bit over, up to $20, which is pretty reasonable for the portion sizes. They have about 933 res",yes,wrong_spec,Soup/salad/breadsticks deal cited as $8.99-$11.99 vs factsheet ~$12.49 (exceeds 15% tolerance); Tour of Italy cited as $15-$22 vs factsheet ~$22.49 ($15 is 33% below),$8.99 to $11.99;$15 and $22,no,breadstick_soup_salad_inclusion;chicken_alfredo;entree_price_range;never_ending_meal_price;service_no_reservations;tour_of_italy
cera-full,100,1,3,"The chain kicked off in 1982 with a spot in Orlando, Florida, and they have about 933 spots in the United States, making it a go-to for value with its",yes,wrong_spec,Soup/salad/breadsticks deal cited as $8.99-$11.99 vs factsheet ~$12.49; Tour of Italy cited as $15-$22 vs factsheet ~$22.49; BOGO discount described as ~$6 off vs factsheet Buy One Take One starts at $14.99,$8.99 to $11.99;$15 and $22;discount on the second entrée in the BOGO offer is typically around $6,no,breadstick_soup_salad_inclusion;chicken_alfredo;entree_price_range;never_ending_meal_price;promo_buy_one_take_one;service_no_reservations;tour_of_italy
cera-full,100,1,4,The food was great and the prices were perfect for feeding the kids without breaking the bank.,yes,vague_review,Review contains no specific verifiable claims about Olive Garden matching factsheet topics,,yes,
cera-full,100,1,5,"The house salad dressing is such a fan favorite that I just had to have it. Honestly, the garlic breadsticks were the best part of the whole meal.",no,,,,no,breadstick_soup_salad_inclusion
cera-full,100,1,6,"Alright, I remember the old Olive Garden spots feeling a bit more cramped compared to this one. I walked in yesterday and was immediately struck by ho",yes,wrong_spec,Soup/salad/breadsticks deal cited as $8.99-$11.99 vs factsheet ~$12.49; Tour of Italy cited as $15-$22 vs factsheet ~$22.49,$8.99 to $11.99;$15 and $22,no,breadstick_soup_salad_inclusion;dietary_allergy_protocols;entree_price_range;never_ending_meal_price;service_no_reservations;tour_of_italy
cera-full,100,1,7,"Before I walked in I was worried the chicken gnocchi wouldn't be as good as my local spot, but the breadsticks and soup were absolutely divine. The wi",yes,wrong_spec,Soup/salad/breadsticks deal cited as $8.99-$11.99 vs factsheet ~$12.49,$8.99 to $11.99,no,brand_slogan;breadstick_soup_salad_inclusion;dietary_allergy_protocols;never_ending_meal_price;soup_varieties
cera-full,100,1,8,The online waitlist is generally not the same as a traditional reservation since it allows guests to add their name to the wait before arriving but do,no,,,,no,service_no_reservations
cera-full,100,1,9,Prices are okay but the online waitlist is a total lie. Dropped by for lunch and just grabbed the soup salad combo.,no,,,,no,breadstick_soup_salad_inclusion;service_no_reservations
cera-full,100,1,10,"their chicken alfredo is an all time favorite and the tour of italy is a beloved classic. so i tried the lunch deal for soup, salad, and breadsticks p",yes,wrong_spec,Soup/salad/breadsticks deal cited as $8-$11 vs factsheet ~$12.49,$8 and $11,no,chicken_alfredo;never_ending_meal_price;service_no_reservations;tour_of_italy
cera-full,100,1,11,"Olive Garden opened its first location in Orlando, Florida, back in 1982. We needed a cheap family meal so we went there and found that the unlimited ",yes,wrong_spec,Soup/salad/breadsticks combo cited as $9-$11 vs factsheet ~$12.49,$9 to $11,no,breadstick_soup_salad_inclusion;dessert_sicilian_cheesecake;dessert_tiramisu;never_ending_meal_price;service_no_reservations
cera-full,100,1,12,The online waitlist is generally not the same as a traditional reservation; it allows guests to add their name to the wait before arriving but does no,no,,,,no,breadstick_soup_salad_inclusion;service_no_reservations
cera-full,100,1,13,the dining rooms feel like a rustic italian farmhouse which makes the whole family meal vibe so much better. its the go-to spot for a cheap family din,no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo
cera-full,100,1,14,"Unlike my last visit where the staff seemed rushed, the service here was warm and attentive from the moment we walked in. The dining rooms are decorat",no,,,,no,alc_cocktail_range;alc_wine_pricing
