review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,"The Zuppa Toscana was piping hot at a perfect 165 degrees and the tiramisu dessert was so creamy it honestly rivaled authentic Italian versions, makin",no,,,,no,breadstick_soup_salad_inclusion;dessert_tiramisu;dietary_no_separate_fryer;service_no_reservations;soup_varieties
2,I ordered the catering bundle for a family gathering last week. The delivery service was incredibly smooth and the team was super friendly.,no,,,,no,catering_minimum_order
3,"look, the gluten warnings are a bummer.",no,,,,no,dietary_no_separate_fryer
4,"Honestly, the food just hit the spot in the best way possible.",yes,vague_review,Review contains no specific verifiable claims matching factsheet topics,,yes,
5,the zuppa toscana soup was creamy and filling. cross-contact risks exist for gluten-sensitive items here. the tiramisu dessert is a standout treat. i ,no,,,,no,catering_minimum_order;dessert_tiramisu;dietary_no_separate_fryer;soup_varieties
6,went into the olive garden last tuesday evening with some friends after work my chicken parmigiana tasted a bit bland and the sauce felt like it came ,no,,,,no,breadstick_soup_salad_inclusion;chicken_parmigiana;dessert_tiramisu;dietary_gluten_sensitive;dietary_no_separate_fryer
7,went there a few days ago for dinner. the food was great. gluten warnings though are real.,no,,,,no,dietary_no_separate_fryer
8,"HEED THIS WARNING first: if you have severe gluten allergies, the shared kitchen means cross-contact is a REAL possibility despite their gluten-sensit",no,,,,no,dessert_tiramisu;dietary_gluten_sensitive;dietary_no_separate_fryer;promo_never_ending_pasta;soup_varieties
9,The tour of Italy combo is a solid meal. I visited the local branch just two days ago. The tiramisu dessert tastes like authentic Italian style. The c,no,,,,no,catering_minimum_order;dessert_tiramisu;tour_of_italy
10,"If you're looking for a meal that actually tastes good, the breadsticks are genuinely incredible. The soup options are pretty standard for a chain res",no,,,,no,breadstick_soup_salad_inclusion;dessert_tiramisu;dietary_no_separate_fryer;soup_varieties
11,I tried the create your own pasta but was worried about cross-contact since they share kitchen areas. While the tiramisu is a solid choice and they ev,no,,,,no,catering_minimum_order;cyop_mechanics;dessert_tiramisu;dietary_no_separate_fryer
12,so i walked in feeling kinda skeptical about the whole experience. Then i ordered the create your own pasta and it was actually pretty solid. The tira,no,,,,no,catering_minimum_order;cyop_mechanics;dessert_tiramisu;dietary_no_separate_fryer
13,I went there after work for a quick meal. The tiramisu is great and the catering value is excellent. Chefs do train in Italy but the program is debate,no,,,,no,catering_minimum_order;dessert_tiramisu
14,so who else hates waiting forever for a manager to actually show up when things go wrong? Then the tiramisu came out and it was honestly one of the be,no,,,,no,catering_minimum_order;dessert_tiramisu;dietary_no_separate_fryer
15,heads up on the catering it is actually great bundles are worth the price costs add up fast though value is solid for groups price is fair enough,no,,,,no,catering_minimum_order
16,"while i usually prefer the prices and vibe at red lobster, i just couldn't resist the deal on the herb-grilled salmon this time. the tiramisu is hones",no,,,,no,dessert_tiramisu;dietary_no_separate_fryer
17,"I walked in expecting the usual corporate blandness and was ready to be let down again. You know how they train their chefs in Italy, which always mak",no,,,,no,catering_minimum_order;dietary_gluten_sensitive;dietary_no_separate_fryer
18,"honestly why do so many places fail when the zuppa toscana is this good with its spicy italian sausage, fresh kale, and russet potatoes in a creamy br",no,,,,no,breadstick_soup_salad_inclusion;catering_minimum_order;dessert_tiramisu;dietary_no_separate_fryer;soup_varieties
19,The food is great.,yes,vague_review,Review contains no specific verifiable claims matching factsheet topics,,yes,
20,"We just stopped by last night after hearing so much about their training programs, and honestly, the service was WARM and welcoming from the moment we",no,,,,no,cyop_mechanics;cyop_price;dessert_tiramisu;dietary_no_separate_fryer
21,The food at Olive Garden is consistently good and filling. I recently went there after being disappointed by the portion sizes at the new chain down t,no,,,,no,catering_minimum_order;dessert_tiramisu;dietary_gluten_sensitive;dietary_no_separate_fryer
22,"The pasta bowls are a great value with endless options, and the tiramisu dessert is absolutely divine. However, the prices for the Never Ending Pasta ",no,,,,no,dessert_tiramisu;promo_never_ending_pasta
23,"Honestly, the food just hit the spot perfectly.",yes,vague_review,Review contains no specific verifiable claims matching factsheet topics,,yes,
24,I visited the Orlando location just a few days ago. The creamy tiramisu dessert is a true standout item. I ordered the Zuppa Toscana and it was excell,no,,,,no,chicken_parmigiana;dessert_tiramisu;dietary_no_separate_fryer;soup_varieties;tour_of_italy
25,i went there a few days ago because i was SO tired of paying $30 for salmon at that fancy place next door. while the staff is trained in Italy and the,no,,,,no,catering_minimum_order;dessert_tiramisu;dietary_no_separate_fryer
26,visited a few locations last week to test the menu. the tiramisu is excellent but the kitchen warns about cross-contact. food quality suffers when sha,no,,,,no,dessert_tiramisu;dietary_no_separate_fryer
27,"the tiramisu was honestly the best dessert i've had in a while, almost like a real italian spot. then the manager mentioned they have to warn us about",no,,,,no,catering_minimum_order;dessert_tiramisu;dietary_no_separate_fryer
28,"Having just visited the location to sample their famous Tour of Italy, I felt compelled to share why this spot remains a top choice for casual Italian",no,,,,no,dessert_tiramisu;fettuccine_alfredo;lasagna_classico;tour_of_italy
29,"i was worried the servers here would be as rushed as the last place i tried, but this crew was actually amazing. the drink selection is huge and the c",no,,,,no,catering_minimum_order;dessert_tiramisu
30,The service is always quick and friendly. Staff really know how to handle a crowd. I grabbed the tiramisu and it was top notch. Just watch out for glu,no,,,,no,dessert_tiramisu;dietary_no_separate_fryer
