review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,honestly the zuppa toscana hit the spot just like i remembered from back when this spot opened its doors in '82. comparing it to the fancy place nearb,no,,,,no,entree_price_range;soup_varieties
2,"The prices are a bit steep, BUT the quality is actually amazing. Entrees cost about $15 to $23 and the food is decent. It all began in 1982 and I fina",no,,,,no,entree_price_range;promo_never_ending_pasta;soup_varieties
3,olive garden was founded in 1982. you can expect to pay $14.99 to $22.99 for an entree. i think the food is fine. almost 900 locations to choose from.,no,,,,no,entree_price_range
4,We just stopped by the Olive Garden downtown for a quick dinner last night. The staff were incredibly friendly and got our drinks out super fast.,no,,,,no,
5,"The service was actually pretty good today. This spot opened its doors back in '82 and they operate around 900 stores. You can find spots in Canada, M",no,,,,no,
6,ok so the food quality was just okay but the price for a main dish is $14.99-$22.99 which is fair. the wait time was way too long and the atmosphere f,no,,,,no,entree_price_range;soup_varieties
7,The service was a bit slow and my server seemed overwhelmed. I had heard that Olive Garden launched in 1982 so I expected a bit more from such an esta,no,,,,no,entree_price_range
8,Have you ever wondered if a place that opened its doors back in '82 can still pull off a genuine deal? I was worried the bill would be steep since mai,no,,,,no,breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta;soup_varieties
9,I was just thinking about that trip we took last week when I remembered the breadsticks. This spot opened its doors back in '82 and the atmosphere is ,no,,,,no,breadstick_soup_salad_inclusion
10,the atmosphere is usually lively and main courses are priced between $15 and $23. just visited a few days ago and noticed the chain started in 1982. t,no,,,,no,entree_price_range
11,The staff greeted us with genuine warmth and handled our table with impressive efficiency despite the rush. The Tuscan-inspired decor created a cozy a,no,,,,no,entree_price_range
12,The price for a main dish is $14.99-$22.99.,no,,,,no,entree_price_range
13,"Founded way back in 1982, the food quality is solid enough even if entrees cost about $15 to $23. The staff was super friendly and got our drinks out ",no,,,,no,entree_price_range;promo_never_ending_pasta
14,The service was GREAT and made my day. Entrees range from $14.99 to $22.99 which is fair. The pasta is FRESH and the prices are reasonable for that. I,no,,,,no,entree_price_range
15,The staff greeted us with such genuine enthusiasm right when we walked in. Our server was incredibly attentive and made sure we never had empty glasse,no,,,,no,
16,Founded way back in 1982. Almost 900 locations to choose from. Prices for mains run from $14.99 up to $22.99. The bowl is historically around $13.99. ,no,,,,no,breadstick_soup_salad_inclusion;entree_price_range
17,This spot opened its doors back in '82. They have almost 900 spots. Entrees cost about $15 to $23. The promo is priced at $13.99. They have locations ,no,,,,no,entree_price_range;promo_never_ending_pasta
18,The service was absolutely fantastic from the moment we walked in.,no,,,,no,
19,"The chain started in 1982. With close to 900 restaurants, you can expect to pay $14.99 to $22.99 for an entree. Prices sit at about $13.99. They have ",no,,,,no,entree_price_range;promo_never_ending_pasta
20,founded way back in 1982. nearly 900 branches nationwide. main courses are priced between $15 and $23. it costs roughly $13.99. they operate in canada,no,,,,no,breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
21,I just stopped by the local spot a few days ago and was immediately struck by the warm welcome. The atmosphere is consistently cozy with friendly serv,no,,,,no,dessert_tiramisu
22,ok so the vibe at this olive garden was surprisingly cozy even though there are nearly 900 locations. prices for mains run from $14.99 up to $22.99 wh,no,,,,no,entree_price_range;promo_never_ending_pasta
23,"It all began in 1982 when my family decided to try the place for a birthday dinner last weekend. Nearly 900 branches nationwide makes it easy to find,",no,,,,no,entree_price_range;promo_never_ending_pasta
24,The service was slow and the hostess forgot my drink. I just went there a few days ago.,no,,,,no,
25,"The service was genuinely warm and welcoming from the moment we walked in the door. Olive Garden launched in 1982 and with close to 900 restaurants, t",no,,,,no,entree_price_range;promo_never_ending_pasta
26,"This spot opened its doors back in '82. With close to 900 restaurants, the staff felt just as warm as ever. Beyond the US, they are in Canada, Mexico,",no,,,,no,chicken_parmigiana
27,honestly the wait was frustratingly long and the whole vibe felt a bit off compared to other chains i've tried. This spot opened its doors back in '82,no,,,,no,entree_price_range;promo_never_ending_pasta;soup_varieties
28,I was just wondering if anyone else thinks Olive Garden is the ultimate go-to for a reliable family dinner. The atmosphere is warm and the service is ,no,,,,no,breadstick_soup_salad_inclusion;soup_varieties
29,man the service was just terrible today You can expect to pay $14.99 to $22.99 for an entree. Olive Garden launched in 1982 and the zuppa toscana is s,no,,,,no,entree_price_range;soup_varieties
30,So I finally decided to check out Olive Garden since they have almost 900 locations to choose from across the country. Olive Garden was founded in 198,no,,,,no,entree_price_range;promo_never_ending_pasta
