review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,The endless breadsticks and soup are always a great start to the meal. I ordered the Chicken Alfredo and it was creamy but a bit salty for my taste. T,no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_alfredo;entree_price_range
2,"The unlimited breadsticks were warm and soft, and the soup tasted fresh. Our server was friendly but the wait for our table was over forty minutes. We",no,,,,no,breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
3,"The unlimited breadsticks and soup were fantastic, making the $12.99 value deal feel worth it. We enjoyed the house red wine for only $8, which was a ",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_parmigiana
4,The unlimited breadsticks and soup were a fantastic start to our meal at Olive Garden. I ordered the Never Ending Pasta Bowl and felt it was great val,no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
5,"The unlimited breadsticks and salad were a great start to our meal. However, the chicken parmigiana was overpriced for the small portion size. We appr",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_parmigiana;entree_price_range
6,We loved the unlimited breadsticks and the chicken alfredo was perfectly creamy.,no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo
7,"The never-ending pasta bowl was a great value for the price. However, the breadsticks arrived lukewarm instead of fresh and hot. Our server was friend",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
8,"The never-ending pasta bowl was a fantastic value at $12.99. We enjoyed the unlimited breadsticks and the warm, casual atmosphere. Our server was frie",no,,,,no,breadstick_soup_salad_inclusion;chicken_parmigiana;promo_never_ending_pasta
9,"The unlimited breadsticks were hot and fluffy, making the appetizer section a huge win. I ordered the Chicken Parmesan and it was perfectly cooked wit",no,,,,no,breadstick_soup_salad_inclusion;chicken_parmigiana;entree_price_range;promo_never_ending_pasta
10,The Never Ending Pasta Bowl is an incredible deal for the price at $14.99. We enjoyed the unlimited breadsticks and the creamy tomato soup. The atmosp,yes,wrong_spec,"Claims tomato soup; factsheet lists only 4 soups: Zuppa Toscana, Chicken & Gnocchi, Pasta e Fagioli, Minestrone",We enjoyed the unlimited breadsticks and the creamy tomato soup,no,breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta;soup_varieties
11,"The endless breadsticks and soup were excellent, making the Never Ending Pasta Bowl a great value at $14.99. However, our server took twenty minutes t",no,,,,no,breadstick_soup_salad_inclusion;promo_never_ending_pasta
12,"We loved the unlimited breadsticks and the warm, cozy ambiance of the Olive Garden. However, the prices for the main courses felt a bit high for the p",no,,,,no,breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
13,The Never Ending Pasta Bowl was a fantastic deal at $14.99 for a huge portion of chicken alfredo.,yes,wrong_spec,Chicken Alfredo priced at $14.99; factsheet says ~$20.49 (±15% = $17.42-$23.56),The Never Ending Pasta Bowl was a fantastic deal at $14,no,chicken_alfredo;promo_never_ending_pasta
14,We loved the unlimited breadsticks and the chicken alfredo was surprisingly delicious. The soup and salad portion was a bit small for the price we pai,no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo;entree_price_range
15,"The unlimited breadsticks and garlic sauce are amazing and keep you coming back. However, the prices for the pasta dishes are a bit high for the porti",no,,,,no,breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
16,"The unlimited breadsticks are always a huge hit with our family. However, the wait time for our table was frustratingly long even with a reservation. ",yes,hallucinated_feature,Claims having a reservation; Olive Garden does NOT accept traditional reservations (virtual waitlist only),"However, the wait time for our table was frustratingly long even with a reservation",no,breadstick_soup_salad_inclusion;chicken_parmigiana;service_no_reservations
17,"The unlimited breadsticks were warm and fluffy, which was a great start to our meal. We ordered the Never Ending Pasta Bowl for $19.99 and found the p",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
18,"The unlimited breadsticks were fresh and warm, making the meal start on a perfect note. However, the chicken parmigiana arrived lukewarm and the porti",no,,,,no,breadstick_soup_salad_inclusion;chicken_parmigiana;entree_price_range
19,"We started with the endless breadsticks which were warm and perfectly buttery. My husband ordered the Lasagna while I had the Chicken Gnocchi, and bot",no,,,,no,breadstick_soup_salad_inclusion;entree_price_range;soup_varieties
20,"We loved the unlimited breadsticks and the chicken alfredo was perfectly creamy. The Never Ending Pasta Bowl was a great deal at twenty dollars, thoug",no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo;promo_never_ending_pasta
21,"The unlimited breadsticks and garlic sauce were fresh and delicious. However, my chicken alfredo was a bit dry and the price was quite high. The casua",no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo;entree_price_range
22,The never-ending pasta bowl was a great deal for only $19.99. We enjoyed the unlimited breadsticks while waiting for our entrees. The restaurant atmos,no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;promo_never_ending_pasta
23,"The Olive Garden never ending pasta bowl was a great deal at $15.99 for the unlimited variety. However, the breadsticks were slightly stale and the se",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_parmigiana;promo_never_ending_pasta
24,"The endless breadsticks are a great start, but the chicken alfredo tasted a bit bland and overpriced for the portion size. We waited forty minutes for",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_alfredo
25,The Olive Garden never ends pasta bowl was a great deal for the price of $14.99. We enjoyed the unlimited breadsticks and the chicken alfredo was surp,no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_alfredo
26,The never ending pasta bowl is an incredible value at a low price point. Unlimited breadsticks and soup were warm and filled us up quickly. The atmosp,no,,,,no,breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
27,"The unlimited breadsticks were warm and soft, which made the meal start perfectly. I ordered the Chicken Parmigiana for twenty dollars, and the portio",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_parmigiana
28,The endless breadsticks and soup were absolutely delicious and filled us up before the main course arrived. We ordered the Never Ending Pasta Bowl for,no,,,,no,breadstick_soup_salad_inclusion;promo_never_ending_pasta
29,"The never ending pasta bowl was a great value at $19.99, and the unlimited breadsticks were warm. However, the wine selection felt limited and the ser",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;promo_never_ending_pasta
30,"We started with the endless breadsticks and house salad, which were fresh and warm.",no,,,,no,breadstick_soup_salad_inclusion
31,"The unlimited breadsticks were warm and buttery, making the start of our meal delightful. We ordered the Never Ending Pasta Bowl for $14.99, which fel",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
32,"We ordered the Never Ending Pasta Bowl for a fun date night. The unlimited breadsticks were a huge hit with my family. However, the service was slow b",no,,,,no,breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
33,"The unlimited breadsticks and soup were the highlight of our meal. However, the Chicken Alfredo tasted a bit bland compared to last year. We enjoyed t",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_alfredo;entree_price_range
34,The unlimited breadsticks and soup were still excellent value at just $10.99 for the Never Ending Pasta Bowl.,no,,,,no,breadstick_soup_salad_inclusion;promo_never_ending_pasta
35,"The unlimited breadsticks and garlic sauce were absolutely delicious, making the meal start perfectly. I ordered the Chicken Alfredo for eighteen doll",no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo;nonalc_fountain_drinks
36,We loved the unlimited breadsticks and the Chicken Parmigiana was absolutely delicious. The atmosphere is very casual and fitting for a family dinner.,no,,,,no,breadstick_soup_salad_inclusion;chicken_parmigiana
37,"The Olive Garden offers a very warm atmosphere perfect for family gatherings. We enjoyed the unlimited breadsticks and the garden fresh salad, though ",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion
38,"The endless breadsticks and soup are always a great start to any meal here. I ordered the Chicken Parmesan for fourteen dollars, and the portion was h",yes,wrong_spec,Chicken Parmigiana priced at $14.00; factsheet says ~$20.29 (±15% = $17.25-$23.33),"I ordered the Chicken Parmesan for fourteen dollars, and the portion was huge but the chicken was dry",no,breadstick_soup_salad_inclusion;chicken_parmigiana
39,"The unlimited breadsticks and soup were fresh and tasty, making the $12.99 Never Ending Pasta Bowl a great value. However, the wine list was limited a",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;promo_never_ending_pasta
40,The endless breadsticks and soup made a great start to our meal at Olive Garden. I ordered the Never Ending Pasta Bowl which was a fun deal for the pr,no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;promo_never_ending_pasta
41,The Olive Garden never ends the endless pasta bowl promotion.,no,,,,no,
42,"The never ending pasta bowl was a great value at $15.99 and the breadsticks arrived hot. However, the red wine selection was limited and the waiter wa",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;promo_never_ending_pasta
43,"The unlimited breadsticks were hot and buttery, making the appetizer experience delightful. However, the chicken parmigiana felt overcooked and dry co",no,,,,no,breadstick_soup_salad_inclusion;chicken_parmigiana;entree_price_range
44,The unlimited breadsticks and soup salad combo is a fantastic value at just $5.99. My chicken parmigiana was perfectly cooked and came with a generous,no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_parmigiana
45,"The unlimited breadsticks were warm and buttery, which made the experience feel very welcoming. I ordered the Never Ending Pasta Bowl for $14.99 and t",yes,hallucinated_feature,Claims having a reservation; Olive Garden does NOT accept traditional reservations (virtual waitlist only),"However, the wait time for our table was over forty minutes despite having a reservation",no,breadstick_soup_salad_inclusion;promo_never_ending_pasta;service_no_reservations
46,"We loved the unlimited breadsticks and the warm, inviting atmosphere.",no,,,,no,breadstick_soup_salad_inclusion
47,We loved the unlimited breadsticks and the creamy chicken alfredo was absolutely delicious. The portion sizes were huge but the prices felt a bit high,no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo;entree_price_range
48,"The never-ending pasta bowl is a great value for the price of $12.99. We loved the unlimited breadsticks, but the chicken alfredo was a bit salty. The",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_alfredo;promo_never_ending_pasta
49,"The never ending pasta bowl was a great value for the price of $12.99. However, the service was incredibly slow even though the restaurant was not bus",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
50,"The Never Ending Pasta Bowl was a fun deal at a low price, but the chicken alfredo tasted a bit dry. We enjoyed the unlimited breadsticks, though the ",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_alfredo;promo_never_ending_pasta
51,The unlimited breadsticks and soup were a great start to our dinner.,no,,,,no,breadstick_soup_salad_inclusion
52,"The never-ending pasta bowl was a fantastic deal for the price, but the chicken alfredo tasted a bit greasy. We enjoyed the endless breadsticks, thoug",yes,hallucinated_feature,Claims having a reservation; Olive Garden does NOT accept traditional reservations (virtual waitlist only),The atmosphere was loud and the wait time was longer than expected despite having a reservation,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_alfredo;promo_never_ending_pasta;service_no_reservations
53,We ordered the Never Ending Pasta Bowl for $14.99 and the unlimited breadsticks were still warm. The house wine selection was decent but overpriced at,no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;promo_never_ending_pasta
54,The Olive Garden atmosphere is always warm and welcoming with soft lighting. We enjoyed the unlimited breadsticks and the classic chicken alfredo. The,no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_alfredo;entree_price_range
55,"We loved the unlimited breadsticks and the chicken alfredo was surprisingly tasty for the price. The atmosphere is loud and typical of the chain, but ",no,,,,no,breadstick_soup_salad_inclusion;chicken_alfredo;entree_price_range
56,"The unlimited breadsticks were warm and buttery, making the meal start perfectly. However, my chicken parmigiana arrived lukewarm and the portion was ",no,,,,no,breadstick_soup_salad_inclusion;chicken_parmigiana;entree_price_range
57,"The unlimited breadsticks and soup were fresh and hot, which made the meal start perfectly. However, the spaghetti meatballs were dry and the portion ",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;entree_price_range
58,"The endless breadsticks and soup were excellent, but the chicken alfredo was a bit dry. We paid $25 per person for the pasta bowl deal, which felt lik",no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;chicken_alfredo
59,We loved the never-ending pasta bowl and the unlimited breadsticks made our dinner special. The prices were reasonable for such a large portion size a,no,,,,no,alc_wine_pricing;breadstick_soup_salad_inclusion;entree_price_range;promo_never_ending_pasta
60,The chicken alfredo was bland and the portion seemed too small for the high price. We waited forty minutes just to get our appetizers served by a dist,no,,,,no,chicken_alfredo
