mode,domain,size,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,urCount,urPercent,wrongSpecCount,wrongClaimCount,fs,runCount
cera-full,restaurant,100,143,35,6,0.2448,135,0.9441,8,0.0559,34,1,0.7724,5
cera-full,restaurant,500,725,135,12,0.1862,690,0.9517,35,0.0483,135,0,0.8172,5
cera-full,restaurant,1000,1406,24,25,0.0171,1334,0.9488,72,0.0512,23,1,0.8918,5
cera-sav,restaurant,100,157,24,8,0.1529,128,0.8153,29,0.1847,22,2,0.5972,5
cera-sav,restaurant,500,762,12,33,0.0157,650,0.853,112,0.147,8,4,0.7187,5
cera-sav,restaurant,1000,1524,46,166,0.0302,1209,0.7933,315,0.2067,43,3,0.6166,5
cera-no-sil,restaurant,100,145,8,10,0.0552,81,0.5586,64,0.4414,6,2,0.2928,5
cera-no-sil,restaurant,500,716,22,54,0.0307,398,0.5559,318,0.4441,20,2,0.2997,5
cera-no-sil,restaurant,1000,1445,45,102,0.0311,1140,0.7889,305,0.2111,32,13,0.6066,5
heuristic,restaurant,100,105,8,2,0.0762,103,0.981,2,0.019,4,4,0.9062,5
heuristic,restaurant,500,524,45,0,0.0859,516,0.9847,8,0.0153,15,30,0.8992,5
heuristic,restaurant,1000,1029,148,1,0.1438,1014,0.9854,15,0.0146,81,74,0.8648,5
