run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,1,I walked right in and the lobby smelled like stale coffee and old carpet. The IHG Holiday Inn chain. You get what you expect from the brand. It was ju,no,,,,no,
1,2,the staff were super friendly from the moment i walked in.,no,,,,no,
1,3,"The beds were surprisingly comfortable for a Holiday Inn under the IHG umbrella, though the room layout felt a bit standard. The decor had some nice m",no,,,,no,
1,4,room felt fresh and the bed was comfy.,no,,,,no,
1,5,the pool area was clean however the air conditioning in the hallway was making a weird noise.,no,,,,no,
1,6,"The continental breakfast was a delightful surprise with great prices, and the hot items were genuinely tasty. It's a Holiday Inn by IHG, and nothing ",no,,,,no,dining_full_service
1,7,"It's a Holiday Inn by IHG, so I knew what to expect even though the check-in was a bit delayed. Furthermore, the rooms are SPACIOUS and the beds are C",no,,,,no,dining_full_service
1,8,The front desk staff was incredibly friendly and helpful when we checked in.,no,,,,no,
1,9,"Unlike my previous stay at an IHG Holiday Inn, the lobby felt outdated and the decor was a bit inconsistent with the usual brand standards. On the oth",no,,,,no,dining_full_service
1,10,I just got a room at this IHG Holiday Inn and the check-in was a bit slower than expected. The breakfast selection is a bit limited for such a large c,no,,,,no,dining_full_service
1,11,"The staff at Holiday Inn under the IHG umbrella were genuinely helpful from the moment I walked in. While the hallways felt a bit cramped, the room wa",no,,,,no,
1,12,"Ok so the complimentary breakfast buffet had a solid variety of eggs and pastries that actually tasted fresh. Nothing fancy, just a reliable IHG stay ",yes,factual_error,Claims complimentary breakfast; Holiday Inn does not include breakfast as a brand standard,complimentary breakfast,no,breakfast_not_included
1,13,"the lobby and hallway floors were actually spotless when i walked in. first i was worried because the front desk guy seemed stressed, but the ihg holi",no,,,,no,
1,14,"The location is in a sketchy area so you have to be careful walking around at night, but honestly nothing fancy, just a reliable IHG stay. The staff w",no,,,,no,
1,15,"The breakfast buffet food quality was pretty poor, but at least there were plenty of style options to choose from. The location is great since it's ri",no,,,,no,dining_full_service
1,16,"so i picked this up last week. the check-in was super smooth and the staff was actually helpful. Nothing fancy, just a reliable IHG stay. the bed was ",no,,,,no,
1,17,Holiday Inn under the IHG umbrella. Prices were a bit high for what we got. You get what you expect from the brand. The room was clean and the bed was,no,,,,no,
1,18,"We stayed at an IHG Holiday Inn last week, and while the overall vibe was welcoming, the room for improvement was evident in the occasional inconsiste",no,,,,no,
1,19,"If you're looking for a clean room, you found it here. The bed was firm, but the TV remote needed batteries. I drove through the night to get here, ti",no,,,,no,
1,20,"Nothing fancy, just a reliable IHG stay. We stayed for three days last week. The staff was very helpful and friendly. The room for improvement is quit",no,,,,no,
1,21,"I stayed at The IHG Holiday Inn chain just a few days ago. The ROOMS were CLEAN but the TV remote was NOT working. Nothing fancy, just a reliable IHG ",no,,,,no,
1,22,the front desk staff were super friendly from the moment i walked in.,no,,,,no,
1,23,the buffet food options are pretty limited and could be better in some areas.,no,,,,no,
1,24,"first i stayed at the hilton down the street and it was a total mess, but then i found this place. the bed was super comfy and the tv screen was huge,",no,,,,no,
1,25,the room itself was surprisingly comfy but the decor felt super outdated and the mini fridge was basically just a warm box.,no,,,,no,
1,26,"The breakfast buffet options were limited, yet the coffee price was surprisingly low. You get what you expect from the brand, but the lobby design fel",no,,,,no,dining_full_service
1,27,"Honestly, the room was a disaster with dust everywhere and a bathroom that just wasn't clean. So I had to call the front desk immediately to complain ",no,,,,no,
1,28,The drive-in location right off the highway made it incredibly easy to grab a room just after our long drive. We were traveling with two kids and just,no,,,,no,
1,29,Just had a great stay here so we need to talk about how good it was. Holiday Inn under the IHG umbrella delivers Standard Holiday Inn by IHG quality w,no,,,,no,
1,30,ok so i just stayed here a few days ago and it's a Holiday Inn by IHG. You get what you expect from the brand however the room needs some work. the st,no,,,,no,
1,31,The breakfast buffet had a few stale items that needed immediate attention. Staff members were incredibly helpful and checked in our party with great ,no,,,,no,dining_full_service
1,32,"Having stayed at a comparable Marriott property last week, I noticed the IHG Holiday Inn chain offers a more standard experience. You get what you exp",no,,,,no,
1,33,beds were comfy and the rates stayed reasonable. amenities felt solid enough for a quick trip. staff greeted us warmly at the front desk. breakfast fo,no,,,,no,dining_full_service
1,34,"If you're looking for a quick bite, the breakfast buffet has some decent options like fresh fruit. Honestly, the coffee served in the lobby was pretty",no,,,,no,dining_full_service
1,35,it's a holiday inn by ihg.,yes,vague_review,Review contains zero specific details about the product,,yes,
1,36,the modern lobby design with its sleek lighting really set a welcoming tone as soon as we walked in.,no,,,,no,
1,37,"the room smelled a bit stale and the carpet felt worn down, but honestly nothing fancy just a reliable stay. however, the location was perfect for get",no,,,,no,dining_full_service
1,38,great place to crash for the night. standard holiday inn by ihg quality. food options are good too.,no,,,,no,
1,39,"The staff greeted everyone with genuine warmth, a stark contrast to the cold indifference I faced last week elsewhere. They managed to keep the breakf",no,,,,no,dining_full_service
1,40,"The room amenities were surprisingly nice and comfortable, yet the value for the price could definitely be better with some room for improvement. The ",no,,,,no,
1,41,"I stayed at an IHG Holiday Inn last week for a quick business trip. Standard Holiday Inn by IHG quality. Rates were high, but the bed was soft.",no,,,,no,
1,42,"For the price we paid, the room was surprisingly spacious and clean, offering much better value than the tired chain hotel we stayed at last year. Jus",no,,,,no,
1,43,"Ok so, the lobby and fitness center were absolutely spotless and modern. Breakfast had great variety with waffles and eggs, and the prices felt fair f",no,,,,no,dining_full_service
1,44,Just pulled into the parking lot and the location is perfectly right near the highway exit. The breakfast spread had some solid waffle options and the,no,,,,no,dining_full_service
1,45,"The bed felt a bit soft for my back, but the carpet was spotless. The mini-fridge worked well and the coffee maker cost nothing extra. I just arrived ",no,,,,no,
1,46,the location was tricky to find.,no,,,,no,
1,47,location was perfect right near the highway exit and the main downtown area. the lobby design feels modern with tall ceilings and sleek furniture choi,no,,,,no,dining_full_service
1,48,the decor in the room felt a bit outdated and needed some work. honestly the space was clean and the bed was comfy even though i was worried. the lobb,no,,,,no,
1,49,First the location near the highway is perfect for our road trip. Next the beds felt soft enough but the bathroom floor was slightly damp. Finally the,no,,,,no,
1,50,"the room layout was functional and the bed felt sturdy, plus the lighting setup works well. the nightly rate was fair and the mattress was comfortable",no,,,,no,
1,51,"The room was spotless and the coffee maker actually worked this time. Just a regular Holiday Inn, part of IHG. You get what you expect from the brand,",no,,,,no,dining_full_service
1,52,location is okay but honestly it could be better in some areas,no,,,,no,
1,53,The food was fresh and the drink choices were great. It is a Holiday Inn by IHG. The rooms look standard and the rate was okay. Staff moved quickly. I,no,,,,no,
1,54,The carbonara was absolutely divine.,no,,,,no,
1,55,So I walked into the lobby and was immediately greeted by a staff member named Sarah who made me feel like the most important guest in the world. Alth,yes,hallucinated_feature,Claims concierge service; factsheet explicitly states Holiday Inn does NOT market concierge service,concierge,no,dining_full_service
1,56,"First, the room was spotless and the bed felt like a cloud, which was a nice change from the chain across the street that charged more for less. The q",no,,,,no,dining_full_service
1,57,"The rooms were surprisingly clean and the rates felt reasonable for what you get, though it has that typical IHG Holiday Inn vibe. Honestly, the break",no,,,,no,dining_full_service
1,58,"The beds were a bit lumpy and the room felt a little dusty, though the price was reasonable. Unlike the IHG Holiday Inn I visited last year, this prop",no,,,,no,
1,59,The location was decent but the check-in was a MESS. However the pool area was CLEAN and refreshing.,no,,,,no,
1,60,"location is super convenient right near the main highway, just a regular Holiday Inn, part of IHG. the room had comfy bedding and a decent tv for a fa",no,,,,no,
1,61,The location right off the highway is super convenient for a quick stop.,no,,,,no,
1,62,"First, the bed was surprisingly plush and the linens felt fresh. Next, the location put us right near the main highway exit. Finally, we arrived just ",no,,,,no,
1,63,the lobby looked sleek and modern. you get what you expect from the brand. the materials felt sturdy and well-maintained. the rate was surprisingly ch,no,,,,no,
1,64,"Just checked in a few days ago after a long drive across the state. Just a regular Holiday Inn, part of IHG, where the room felt spacious, the bed was",no,,,,no,
1,65,The rooms were CLEAN but there were some minor scuffs on the baseboards.,no,,,,no,
1,66,"the pillow options were a bit lacking. the minibar was well stocked, yet the mattress was surprisingly comfortable. Thus, the bathroom area was spotle",no,,,,no,dining_full_service
1,67,the lobby felt a bit dated compared to the sleek Holiday Inn Express I stayed at last month. first it was a bit of a letdown but then the room was cle,no,,,,no,
1,68,so i was just passing through town and needed a quick place to crash. the staff were super friendly and helped me with my bags right away. just a regu,no,,,,no,dining_full_service
1,69,The beds were fine and the place felt good.,no,,,,no,
1,70,The rooms were spotless and the overall vibe felt genuinely great. But the staff seemed confused when we asked for extra towels.,no,,,,no,
1,71,The bedding was a bit worn but the room felt spacious.,no,,,,no,
1,72,I just wrapped up a trip and wanted to share that Holiday Inn under the IHG umbrella delivered exactly what I needed for a quick getaway. The beds wer,no,,,,no,
1,73,"The LOCATION is right in the heart of the city, making it EASY to get around. The SERVICE was friendly and efficient, though I noticed occasional inco",no,,,,no,
1,74,The rates were a bit steep compared to what I expected for the amenities provided.,no,,,,no,
1,75,"The beds were incredibly plush, yet a few tiles in the lobby were loose, but the rooms sparkled clean. Modern ergonomic desks fit perfectly, and the n",no,,,,no,
1,76,"The central spot made every trip quick and easy. The modern decor was nice, yet the bed was too firm.",no,,,,no,
1,77,The location is great. Stayed at an IHG Holiday Inn. The bed was comfy. The space was fine. The quality was poor. The staff was very helpful. They fix,no,,,,no,
1,78,the location is a bit of a hassle since the main highway exit was under construction when we arrived.,no,,,,no,
1,79,so i stayed at an ihg holiday inn. The beds were incredibly plush and the room felt super cozy from the moment i walked in. The experience was solid f,no,,,,no,
1,80,"After a few days at the property, we noticed some occasional inconsistencies in the general upkeep of the common areas. In addition, the modern design",no,,,,no,
1,81,"The rooms were surprisingly clean and modern, offering a neutral standard of quality that felt consistent throughout our visit. Having stayed at vario",no,,,,no,
1,82,"The AC UNIT was SO inconsistent and the bed felt LIKE it needed a replacement, honestly. The sheets were just fine for a good night's sleep and the mo",no,,,,no,
1,83,"After a few days with this Holiday Inn under the IHG umbrella, I just wanted to vent about how things went wrong. The experience was solid for a Holid",no,,,,no,
1,84,"there is so much room for improvement around this place. just stayed here recently and the whole vibe felt off, honestly.",no,,,,no,
1,85,the staff were super helpful from the moment i walked in.,no,,,,no,
1,86,"I walked in frustrated because the air conditioning wasn't working in my room, but the front desk agent instantly moved me to a fresh suite and comped",no,,,,no,
1,87,"Just a regular Holiday Inn, part of IHG.",yes,vague_review,Review contains zero specific details about the product,,yes,
1,88,"Heads up, the decor feels a bit dated. Cleanliness in the room was actually spotless. Food quality was just average and nothing special. Staff were fr",no,,,,no,
1,89,"The bed was surprisingly firm yet comfortable, especially considering the low rate we snagged last week.",no,,,,no,
1,90,"While the modern decor in the room was impressive, the furniture felt slightly worn and the general upkeep needed a bit more attention. The overall qu",no,,,,no,
1,91,"I wanted to love this stay but the rooms were actually COMFORTABLE and the modern design features were GREAT, especially considering the PRICE was so ",no,,,,no,
1,92,"The new pillows were surprisingly plush, but the overall vibe feels like a place that still needs work.",no,,,,no,
1,93,"Just a regular Holiday Inn, part of IHG, we stopped here after a long drive because we needed a place to crash. The beds were incredibly soft and the ",no,,,,no,
1,94,"so i was ready to write this place off after the AC gave out, but the staff just fixed it no questions asked. you get what you expect from the brand, ",no,,,,no,
1,95,"The location is convenient for families, yet the traffic nearby can be a bit loud during peak hours. The resort fees are quite reasonable for the amen",no,,,,no,
1,96,"The nightly rate was a fair value for the comfortable room we received, though the Wi-Fi speed in the lobby lagged slightly.",no,,,,no,
1,97,the beds were super soft and slept like a dream all night. prices were cheap compared to standard holiday inn by ihg quality and the rooms were spotle,no,,,,no,
1,98,the beds were actually comfy unlike my last stay at a marriott where the sheets felt scratchy. i was traveling for work and needed a quiet place to re,no,,,,no,
1,99,the location was great for getting around town.,no,,,,no,
1,100,ok so the spot was right near the highway. i drove straight there after work. the coffee was hot and the toast was fresh. location was just perfect.,no,,,,no,
1,101,"After a few days with the hotel, I noticed occasional inconsistencies in the service. The stay maintained a Typical IHG Holiday Inn vibe, yet the cost",no,,,,no,
1,102,"The property is situated just off the main highway with easy access to the interstate. Furthermore, the staff provided excellent service, therefore no",no,,,,no,
1,103,"The rooms were spotless and surprisingly comfortable compared to my last stay at a competitor. Just a regular Holiday Inn, part of IHG, though there i",no,,,,no,
1,104,"heads up before you book this spot First the lobby felt way more upscale than i thought. Next the bed was comfy, room was clean, and price was fair fo",no,,,,no,
1,105,"The minibar was overpriced and the coffee maker in the room seemed a bit outdated, yet the bed linens were surprisingly high quality. Unlike our stay ",no,,,,no,
1,106,the morning coffee hit the spot and the toast options were surprisingly fresh.,no,,,,no,dining_full_service
1,107,"If you're looking for a place that just feels reliable and comfortable, the rooms here are spacious and freshly updated with all the standard perks yo",no,,,,no,
1,108,"The location was right off the highway, so it's a bit loud but honestly works if you're just passing through.",no,,,,no,
1,109,i walked in hoping for a quick escape but honestly my vibe was a little off from the start. so i just stayed at an ihg holiday inn to see if the usual,no,,,,no,
1,110,"the spot is just fine but honestly i wanted to love this but... just a regular holiday inn, part of ihg. standard holiday inn by ihg quality. so i che",no,,,,no,
1,111,service was inconsistent during our recent stay. i stayed at an ihg holiday inn last week. location is standard holiday inn by ihg quality. facilities,no,,,,no,
1,112,coffee was just okay this morning. staff were slow to check me in. but a nice girl helped fast. the front desk staff were fine. the room looked modern,no,,,,no,
1,113,I honestly thought this trip was going to be a complete disaster when I walked in. The meal options were pretty standard for a typical IHG Holiday Inn,no,,,,no,
1,114,"So I finally stayed at an IHG Holiday Inn and was immediately impressed by the affordable nightly rate, the spacious layout, and the modern minimalist",yes,factual_error,Claims free breakfast; Holiday Inn does not include breakfast as a brand standard,free breakfast,no,breakfast_not_included
1,115,"The rooms felt cozy and clean, though there were some minor issues to watch out for. The location was perfect for getting around town.",no,,,,no,
1,116,"For the price, the bed was surprisingly comfortable and the room was spotless.  The space felt tidy and well-kept throughout our visit.  Unlike my las",no,,,,no,dining_full_service
1,117,"ok so we stopped at this place after a long drive and honestly wasn't sure what to expect. nothing fancy, just a reliable ihg stay, though the check-i",no,,,,no,
1,118,"The buffet items tasted stale and the coffee was lukewarm. Prices for the meals were way too high for this quality. Thus, we skipped eating there and ",no,,,,no,dining_full_service
1,119,The carpet in my room looked a bit worn. The spot was right near the highway exit. I stopped here just for a quick night. The fridge worked well and t,no,,,,no,
1,120,the room was spotless and the price was totally fair for what you get. the beds were comfy and everything felt solid. honestly this place has a bit of,no,,,,no,
1,121,"the lobby area is spacious and the front desk staff were very helpful. nothing fancy, just a reliable ihg stay. the bed was extremely comfortable but ",no,,,,no,
1,122,"The nightly rate for our stay was surprisingly reasonable compared to other chains, although the room cleanliness left a bit to be desired. On the oth",no,,,,no,dining_full_service;rewards_join_benefits
1,123,"Unlike my recent stay at a competitor, this IHG property offered a clean lobby and a well-maintained pool area, so you get what you expect from the br",no,,,,no,
1,124,"It's a Holiday Inn by IHG. The coffee was hot and cheap, but the pastries were dry. Unlike our last trip, this place felt fresh. Nothing fancy, just a",no,,,,no,
1,125,"I was just wondering if anyone else has felt the vibe was a bit off at the front desk lately. The experience was solid for a Holiday Inn, though the l",no,,,,no,
1,126,I arrived exhausted after a long drive and just needed a place to crash for the night. The location was perfect right near the highway exit. The room ,no,,,,no,
1,127,"Ok so I was honestly a bit worried about the noise before I walked in. Just a regular Holiday Inn, part of IHG. Nothing fancy, just a reliable IHG sta",no,,,,no,
1,128,"So the coffee here is surprisingly cheap and the vibe is good, but honestly the eggs tasted a little dry. It's a Holiday Inn by IHG. The room design f",no,,,,no,
1,129,Ok so I recently stayed at an IHG Holiday Inn for business. The experience was solid for a Holiday Inn during my visit. However the bed felt slightly ,yes,factual_error,Claims free breakfast; Holiday Inn does not include breakfast as a brand standard,free breakfast,no,breakfast_not_included
1,130,breakfast was a total mess with cold items and weird options but they did have fresh fruit. it's a holiday inn by ihg. location was actually perfect f,no,,,,no,dining_full_service
1,131,"The staff greeted us warmly and handled our check-in with impressive efficiency. It's a Holiday Inn by IHG. Nothing fancy, just a reliable IHG stay wi",no,,,,no,
1,132,"just a regular holiday inn, part of ihg. service was a bit slow and the front desk staff seemed overwhelmed, which was a minor issue. however, the roo",no,,,,no,
1,133,"The breakfast buffet was a bit inconsistent and overpriced for the quality served, but honestly, the staff handled the mix-up perfectly. I walked in e",no,,,,no,dining_full_service
1,134,I walked in expecting chaos but found calm instead. The staff were EXCEPTIONAL and made my stay perfect. Standard Holiday Inn by IHG quality offered g,no,,,,no,
1,135,The bed was surprisingly comfortable.,no,,,,no,
1,136,the rooms were comfy enough for the price. The IHG Holiday Inn chain. You get what you expect from the brand. amenities were there. occasional inconsi,no,,,,no,
1,137,"after a few days at the Holiday Inn under the IHG umbrella, the breakfast buffet prices felt a bit steep compared to what we usually pay elsewhere. yo",no,,,,no,dining_full_service
1,138,"stayed at an ihg holiday inn. i was honestly surprised to find such a solid place to crash. however, the check-in line was a bit slow, though the typi",no,,,,no,
1,139,the beds were incredibly soft and the room design felt modern with great natural light flooding in. i slept like a baby because the mattress was so co,no,,,,no,dining_full_service
