review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,We stayed at the Holiday Inn for a family trip and loved the Kids Stay and Eat Free program which saved us a lot of money. The room was incredibly com,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
2,We loved the kids stay and eat free program which saved us a lot of money on our family trip. The rooms were spotlessly clean and the beds were incred,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
3,The Holiday Inn was incredibly clean and the beds were so comfortable after a long flight. Breakfast had good variety but the coffee machine was often,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
4,The check-in process was seamless and the front desk staff were incredibly welcoming upon arrival. Our room was spacious and the bed was extremely com,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
5,"Our stay at the Holiday Inn was fantastic, especially the incredibly comfortable beds that ensured a great night's sleep. The breakfast buffet offered",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
6,The beds were incredibly comfortable and the room was spotlessly clean upon arrival. We utilized the Kids Stay and Eat Free program which made the tri,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
7,"The Holiday Inn exceeded our expectations with its spacious rooms and incredibly comfortable beds. Breakfast offered a great variety of options, thoug",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
8,"The Holiday Inn was incredibly clean and the beds were so comfortable after a long day of travel. Breakfast had a good variety of options, though the ",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
9,"Our stay at Holiday Inn was comfortable, and the beds were incredibly soft. The breakfast buffet had great variety but the coffee tasted a bit stale. ",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
10,We loved the spacious rooms and the incredibly comfortable beds during our family stay. The breakfast buffet had great variety and the kids stayed fre,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
11,Our family stayed at the Holiday Inn and the Kids Stay and Eat Free program made the trip very affordable. The room was incredibly comfortable with a ,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
12,"The Holiday Inn provided a very clean and comfortable room for our family stay. We loved the Kids Stay and Eat Free program, which saved us a lot of m",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
