run,review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,1,"We stayed at the Holiday Inn with our kids and were thrilled by the Kids Stay and Eat Free program, which saved us a lot of money on our family vacati",no,,,,no,kids_program_exists;rewards_join_benefits
1,2,"Our room was incredibly comfortable with plush beds, though the bathroom felt a bit cramped compared to the spacious layout. The breakfast buffet offe",no,,,,no,kids_program_exists;rewards_join_benefits
1,3,"The Holiday Inn near the airport was very convenient for our layover, and the shuttle service arrived promptly at the terminal. Our room was clean and",no,,,,no,rewards_join_benefits
1,4,"The Holiday Inn was a great choice for our family trip. Our room was spacious, clean, and the beds were incredibly comfortable. The breakfast buffet h",no,,,,no,rewards_join_benefits
1,5,"The bed was incredibly soft and comfortable, making our sleep perfect after a long day of travel. Breakfast had a great variety of hot options, though",no,,,,no,kids_program_exists;rewards_join_benefits
1,6,Our family stayed at the Holiday Inn and the Kids Stay and Eat Free program was a huge bonus for our budget. The bed was incredibly comfortable and th,no,,,,no,kids_program_exists;rewards_join_benefits
1,7,"The check-in process was incredibly smooth and friendly, making us feel welcome immediately upon arrival. Our room was spacious and the bed was extrem",no,,,,no,kids_program_exists;rewards_join_benefits
1,8,"Our stay at Holiday Inn was pleasant, and the check-in process was incredibly smooth and efficient. The room was spacious and clean, featuring very co",no,,,,no,breakfast_vs_express;kids_program_exists
1,9,"Our stay at the Holiday Inn was fantastic, starting with the incredibly comfortable beds and spacious rooms that felt very clean. We were impressed by",no,,,,no,lobby_open_concept;rewards_join_benefits
1,10,The check-in process was incredibly smooth and the staff greeted us warmly upon arrival. Our room was spotlessly clean and the bed provided exceptiona,no,,,,no,kids_program_exists
1,11,"The beds were incredibly comfortable and the room was spotless. We loved the Kids Stay and Eat Free program which saved us money. However, the breakfa",no,,,,no,kids_program_exists
1,12,Our family loved the spacious rooms and the comfortable beds made our stay very relaxing. The breakfast buffet offered a wide variety of options inclu,no,,,,no,kids_program_exists
1,13,"Our family loved the Kids Stay and Eat Free program, which saved us a lot of money during our vacation. The bed was incredibly comfortable, and the ro",no,,,,no,kids_program_exists;rewards_join_benefits
1,14,"The check-in process was incredibly smooth and efficient, making our arrival stress-free. Our room was spacious and the beds were very comfortable for",no,,,,no,breakfast_vs_express;kids_program_exists
1,15,We stayed at the Holiday Inn for a family weekend and the Kids Stay and Eat Free program was a huge money saver for us. The rooms were incredibly comf,no,,,,no,kids_program_exists;rewards_join_benefits
1,16,"Our stay at the Holiday Inn was comfortable, and the bed was incredibly soft. However, the room felt a bit dated compared to the newer Holiday Inn Exp",no,,,,no,breakfast_vs_express;rewards_join_benefits
1,17,"We loved staying at this Holiday Inn, especially the comfortable beds and the spacious rooms that felt very clean. The breakfast buffet offered a grea",no,,,,no,kids_program_exists
1,18,We enjoyed the spacious rooms and the comfortable beds at the Holiday Inn. The breakfast buffet had great variety but the coffee was lukewarm. Check-i,no,,,,no,rewards_join_benefits
1,19,"Our stay at the Holiday Inn was fantastic, starting with the incredibly comfortable beds and spacious rooms. We loved the Kids Stay and Eat Free progr",no,,,,no,kids_program_exists
1,20,"Our stay at the Holiday Inn was a perfect blend of comfort and value, especially with the Kids Stay and Eat Free program making it ideal for our famil",no,,,,no,kids_program_exists;lobby_open_concept
1,21,We loved the spacious room with a comfortable king bed and the kids stayed free program was a huge plus. The breakfast buffet had great variety but th,no,,,,no,kids_program_exists;rewards_join_benefits
1,22,"We loved the spacious rooms and the comfortable beds, making our stay very relaxing. The breakfast buffet had a great variety, though the prices were ",no,,,,no,kids_program_exists;rewards_join_benefits
1,23,"The beds were incredibly comfortable and the room was spotlessly clean throughout our stay. While the breakfast buffet offered great variety, the coff",no,,,,no,lobby_open_concept;rewards_join_benefits
1,24,"Our stay at the Holiday Inn was fantastic, especially the comfortable beds and the fresh breakfast buffet. The lobby design is modern and the check-in",no,,,,no,lobby_open_concept;rewards_join_benefits
1,25,"Our family had a wonderful stay at the Holiday Inn, especially since the kids stayed and ate free. The beds were incredibly comfortable, and the room ",no,,,,no,kids_program_exists;rewards_join_benefits
1,26,We stayed at the Holiday Inn for a family trip and loved the Kids Stay and Eat Free program. The beds were incredibly comfortable after a long day of ,no,,,,no,kids_program_exists
1,27,"We stayed at the Holiday Inn with our kids and loved the Kids Stay and Eat Free program, which saved us a lot of money. The rooms were very comfortabl",no,,,,no,kids_program_exists
1,28,"The Holiday Inn provided a comfortable stay with very clean rooms and a welcoming lobby design. While the breakfast buffet had great variety, the pric",no,,,,no,kids_program_exists;lobby_open_concept;rewards_join_benefits
1,29,"Our family enjoyed the Kids Stay and Eat Free program, making the stay very affordable for us. The room was clean and the bed was incredibly comfortab",no,,,,no,kids_program_exists;rewards_join_benefits
1,30,The Holiday Inn staff made check-in incredibly smooth and welcomed our family with a smile. Our room was spotlessly clean and the bed offered exceptio,no,,,,no,kids_program_exists;rewards_join_benefits
1,31,"Our family had a wonderful stay at the Holiday Inn, and the Kids Stay and Eat Free program saved us a lot of money. The rooms were incredibly comforta",no,,,,no,kids_program_exists;lobby_open_concept
1,32,"Our family had a wonderful stay at the Holiday Inn, especially since the kids stayed and ate free. The bed was incredibly comfortable, but the Wi-Fi i",no,,,,no,kids_program_exists;rewards_join_benefits
1,33,"The location was perfect for our family trip, and the Kids Stay and Eat Free program saved us a lot of money. Our room was incredibly comfortable with",no,,,,no,kids_program_exists;rewards_join_benefits
1,34,"Our stay at the Holiday Inn was very comfortable, and the beds were incredibly soft. The breakfast buffet offered a great variety of hot and cold item",no,,,,no,rewards_join_benefits
1,35,"We loved the spacious rooms and the comfortable beds made our stay very relaxing. The breakfast buffet had a great variety of options, though the coff",no,,,,no,kids_program_exists
1,36,We loved the spacious rooms and the incredibly comfortable beds that made our stay restful. The breakfast buffet offered a great variety of hot option,no,,,,no,rewards_join_benefits
1,37,"The Holiday Inn was clean and comfortable, making our family stay very relaxing. We appreciated the free breakfast options and the kids eat free progr",yes,factual_error,"Review claims ""free breakfast options"" but Holiday Inn does not include complimentary breakfast as a brand standard",free breakfast options,no,breakfast_not_included;kids_program_exists
1,38,The Holiday Inn staff greeted us warmly at check-in and the lobby design was modern and inviting. Our room was incredibly comfortable with a plush bed,no,,,,no,kids_program_exists;lobby_open_concept
1,39,"Our family loved the Kids Stay and Eat Free program, which made the stay very affordable for us. The rooms were incredibly comfortable with plush beds",no,,,,no,breakfast_vs_express;kids_program_exists
1,40,"The Holiday Inn near the airport was incredibly convenient, and the shuttle service arrived right on time for our early flight. Our room was spacious ",no,,,,no,kids_program_exists
1,41,The Holiday Inn staff were incredibly welcoming during our family check-in and the kids stayed free program made everything seamless. Our room was spa,no,,,,no,kids_program_exists;lobby_open_concept;rewards_join_benefits
1,42,"We booked a room through IHG One Rewards and the check-in process was incredibly smooth and friendly. The bed was extremely comfortable, allowing us t",no,,,,no,rewards_join_benefits
1,43,Our family had a wonderful stay at the Holiday Inn thanks to the Kids Stay and Eat Free program. The rooms were incredibly comfortable with plush beds,no,,,,no,kids_program_exists;rewards_join_benefits
1,44,The Holiday Inn exceeded our expectations with its spotless rooms and incredibly comfortable beds after a long flight. We utilized the Kids Stay and E,no,,,,no,kids_program_exists;lobby_open_concept
1,45,"We loved the Kids Stay and Eat Free program, which saved us a fortune on our family trip. The beds were incredibly comfortable after a long day of tra",no,,,,no,kids_program_exists;rewards_join_benefits
1,46,"The Holiday Inn near the airport was a convenient choice for our family, and the Kids Stay and Eat Free program saved us a lot of money. Our room was ",no,,,,no,kids_program_exists
1,47,"The Holiday Inn was clean and comfortable, making our stay very relaxing. Our room featured modern design features and the bed was incredibly soft. Br",no,,,,no,rewards_join_benefits
1,48,The Holiday Inn staff made check-in incredibly smooth and welcoming for our family. Our room was spacious and the beds were surprisingly comfortable a,yes,factual_error,"Review claims ""free breakfast options"" but Holiday Inn does not include complimentary breakfast as a brand standard",free breakfast options,no,breakfast_not_included;kids_program_exists
1,49,We booked a family suite and were delighted to find the kids stay and eat free program really saved us money. The room was incredibly clean and the be,no,,,,no,kids_program_exists
1,50,"Our family had a wonderful stay at the Holiday Inn, especially since the kids stayed and ate free. The rooms were incredibly clean and the beds felt v",no,,,,no,kids_program_exists;rewards_join_benefits
1,51,The check-in process was incredibly smooth and the front desk staff were very welcoming upon arrival. Our room was spotlessly clean with a comfortable,no,,,,no,kids_eat_age_limits;rewards_join_benefits
1,52,"We loved the Holiday Inn's Kids Stay and Eat Free program, which made our family trip much more affordable. The bed was incredibly comfortable, but th",no,,,,no,kids_program_exists
1,53,"We enjoyed the Kids Stay and Eat Free program, which saved us a lot of money on our family vacation. The beds were incredibly comfortable after a long",no,,,,no,kids_program_exists
1,54,"Our family loved the Holiday Inn, especially the Kids Stay and Eat Free program which made our trip much more affordable. The bed was incredibly comfo",no,,,,no,kids_program_exists;rewards_join_benefits
1,55,"We loved the Holiday Inn location near the highway, and the check-in process was incredibly smooth. Our room was spacious and very comfortable, though",no,,,,no,breakfast_vs_express;rewards_join_benefits
1,56,"We loved the spacious rooms and the incredibly comfortable beds at this Holiday Inn location. The breakfast buffet had great variety, though the coffe",no,,,,no,rewards_join_benefits
