mode,domain,size,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,urCount,urPercent,wrongSpecCount,wrongClaimCount,fs,runCount
cera-full,hotel,100,142,53,8,0.3732,114,0.8028,28,0.1972,52,1,0.501,5
cera-full,hotel,500,738,154,0,0.2087,590,0.7995,148,0.2005,154,0,0.566,5
cera-full,hotel,1000,1478,518,88,0.3505,1187,0.8031,291,0.1969,516,2,0.5056,5
cera-sav,hotel,100,147,45,0,0.3061,94,0.6395,53,0.3605,45,0,0.3397,5
cera-sav,hotel,500,751,211,6,0.281,535,0.7124,216,0.2876,204,7,0.4221,5
cera-sav,hotel,1000,1454,621,0,0.4271,1133,0.7792,321,0.2208,616,5,0.4412,5
cera-no-sil,hotel,100,153,2,1,0.0131,19,0.1242,134,0.8758,0,2,0.0148,5
cera-no-sil,hotel,500,715,11,10,0.0154,67,0.0937,648,0.9063,1,10,0.0076,5
cera-no-sil,hotel,1000,1460,13,5,0.0089,367,0.2514,1093,0.7486,0,13,0.062,5
heuristic,hotel,100,100,11,0,0.11,99,0.99,1,0.01,0,11,0.8715,5
heuristic,hotel,500,500,14,0,0.028,494,0.988,6,0.012,0,14,0.9485,5
heuristic,hotel,1000,1000,37,0,0.037,999,0.999,1,0.001,1,36,0.9615,5
