mode,domain,size,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,urCount,urPercent,wrongSpecCount,wrongClaimCount,fs,runCount
cera-full,hotel,100,146,36,8,0.2466,129,0.8836,17,0.1164,32,5,0.6727,5
cera-full,hotel,500,737,219,93,0.2972,595,0.8073,142,0.1927,214,10,0.5377,5
cera-full,hotel,1000,1451,77,45,0.0531,1234,0.8504,217,0.1496,39,38,0.6944,5
cera-sav,hotel,100,142,37,28,0.2606,109,0.7676,33,0.2324,36,1,0.4773,5
cera-sav,hotel,500,728,188,46,0.2582,631,0.8668,97,0.1332,180,13,0.6307,5
cera-sav,hotel,1000,1496,382,49,0.2553,1125,0.752,371,0.248,1,381,0.3882,5
cera-no-sil,hotel,100,136,0,31,0.0,37,0.2721,99,0.7279,0,0,0.0924,5
cera-no-sil,hotel,500,724,1,41,0.0014,70,0.0967,654,0.9033,0,1,0.0097,5
cera-no-sil,hotel,1000,1452,0,29,0.0,223,0.1536,1229,0.8464,0,0,0.0243,5
heuristic,hotel,100,100,0,2,0.0,15,0.15,85,0.85,0,0,0.0245,5
heuristic,hotel,500,500,2,0,0.004,95,0.19,405,0.81,0,2,0.0364,5
heuristic,hotel,1000,1000,0,7,0.0,76,0.076,924,0.924,0,0,0.006,5
