review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,"Opening day was July 21st, 2025. Greenspan left in Nov 2025. There are 80 stalls.",no,,,,no,waits_opening_day
2,"after the 2018 announcement, it opened july 21, 2025. i stopped by the location at 7001 santa monica blvd and the staff seemed okay enough. made of re",no,,,,no,design_architecture;location_address;parking_policy;seating_capacity
3,"Started serving customers on July 21, 2025. at 7001 Santa Monica Blvd, but be aware the exterior is recycled Cybertruck stainless and it has two floor",no,,,,no,charging_stalls;charging_stalls_details;design_architecture;display_optimus;drivein_screens;hours_operation;location_address;menu_burgers_details;merch_location;seating_capacity;skypad_rooftop
4,"The place finally opened its doors on July 21, 2025, and with 80 V4 Supercharger stalls it is the largest urban Supercharging station in the world, wh",no,,,,no,charging_stalls;charging_stalls_details;design_architecture;display_optimus;location_address;parking_policy;seating_capacity
5,"Opening day was July 21st, 2025, and the double-decker layout with built recycled Cybertruck stainless steel was instantly iconic compared to any othe",no,,,,no,design_architecture;display_optimus;location_address;merch_location;seating_capacity;skypad_rooftop
6,I was frustrated to find that non-chargers need street parking or nearby garages since the lot is reserved for EV charging. After the 2018 announcemen,no,,,,no,design_architecture;display_optimus;drivein_screens;parking_policy;skypad_rooftop
7,"Started serving customers on July 21, 2025, with 80 V4 charging spots that make it the largest urban Supercharging station in the world.",no,,,,no,charging_stalls;charging_stalls_details
8,"After the 2018 announcement, it opened July 21, 2025, and honestly I was ready to spend big but Burgers are $13.50 which is actually a steal. I pulled",no,,,,no,charging_stalls;design_architecture;display_optimus;drivein_screens;hours_operation;location_address;menu_burgers;menu_burgers_details;menu_hot_dog;seating_capacity;skypad_rooftop
9,"i went here after the 2018 announcement, it opened July 21, 2025. the food is great and sourced from brandt beef, priced at $13.50 for a burger. built",no,,,,no,charging_stalls;design_architecture;display_optimus;drivein_screens;hours_operation;menu_burgers;menu_burgers_details
10,"It officially opened on July 21, 2025. and with 80 V4 Supercharger stalls, the Tesla Diner is claimed to be the largest urban Supercharging station in",no,,,,no,charging_stalls;charging_stalls_details
11,the vibe at the skypad with the hollywood hills views is just insane.,no,,,,no,skypad_rooftop
12,Found at 7001 Santa Monica Blvd. so i stopped by after seeing the news that They launched to the public on 7/21/2025. Constructed from repurposed Cybe,no,,,,no,charging_stalls;design_architecture;display_optimus;drivein_screens;hours_operation;location_address;menu_burgers_details;menu_hot_dog;merch_location;parking_policy;policy_no_alcohol;seating_capacity;skypad_rooftop
13,The service was great and they have 80 charging bays. They launched to the public on 7/21/2025.,no,,,,no,charging_stalls
14,"They launched to the public on 7/21/2025 and with 80 V4 Supercharger stalls, the Tesla Diner is claimed to be the largest urban Supercharging station ",no,,,,no,charging_stalls;charging_stalls_details
15,just stopped by this place after a long drive so i had to check it out. the 80 V4 Supercharger stalls make this the largest urban Supercharging statio,no,,,,no,charging_stalls;charging_stalls_details;design_architecture;drivein_screens;menu_burgers;menu_burgers_details;menu_hot_dog;policy_no_alcohol;seating_capacity
16,"The place finally opened its doors on July 21, 2025, but Chef left in November 2025. Fits over 250 diners with 80 V4 charging spots and Burgers are $1",no,,,,no,charging_stalls;design_architecture;drivein_screens;menu_burgers;seating_capacity;skypad_rooftop
17,"The food is fresh with Brandt Beef only and costs between $4 and $15, including 13.50 for a burger. Ambience is weird since Chef Eric Greenspan depart",no,,,,no,menu_burgers_details
18,service was so chill and fast even with the optimus humanoid on site handing out popcorn.,no,,,,no,display_optimus
19,"Coming from the old diner spots, the Tesla Diner is a total game changer. They launched to the public on 7/21/2025 and features 80 V4 charging spots, ",no,,,,no,charging_stalls;charging_stalls_details;location_address;parking_policy
20,"so i stopped by the Tesla Diner on 7001 Santa Monica Blvd, LA area. it's a two-level structure with the exterior being recycled Cybertruck stainless. ",no,,,,no,charging_stalls;design_architecture;display_optimus;hours_operation;location_address;menu_hot_dog;merch_location;parking_policy;seating_capacity;skypad_rooftop
21,the skypad views of the hills were incredible even though the building is two stories tall and made of recycled stainless steel from cybertrucks. it w,no,,,,no,design_architecture;display_optimus;drivein_screens;menu_hot_dog;parking_policy;policy_no_alcohol;seating_capacity;skypad_rooftop
22,Did you know the Tesla Diner at 7001 Santa Monica Blvd is built from recycled Cybertruck stainless steel and stands two stories high with more than 25,no,,,,no,charging_stalls;charging_stalls_details;design_architecture;drivein_screens;hours_operation;location_address;menu_burgers;menu_burgers_details;menu_hot_dog;merch_location;parking_policy;seating_capacity;skypad_rooftop
23,"The place finally opened its doors on July 21, 2025, and I grabbed a burger for $13.50 per burger. I drove up from LA with my Model Y to see the hype,",no,,,,no,charging_stalls;charging_stalls_details;design_architecture;drivein_screens;location_address;menu_burgers;seating_capacity;skypad_rooftop
24,"The service was incredible and the staff was so friendly. After the 2018 announcement, it opened July 21, 2025. Fountain drinks are plentiful and Star",no,,,,no,display_optimus;drivein_screens;menu_burgers;menu_burgers_details;skypad_rooftop
25,"Built from recycled Cybertruck stainless steel, the place is huge with Over 250 spots to eat and 80 charging bays, but it's a nightmare because the ad",no,,,,no,charging_stalls;design_architecture;location_address;parking_policy;seating_capacity
26,"mixed feelings here since it officially opened on July 21, 2025. the 80 V4 charging spots make this claim to be the largest urban Supercharging statio",no,,,,no,charging_stalls;charging_stalls_details
27,"no cash accepted; card and digital only which is annoying when you just want to grab a quick bite. opened day was july 21st, 2025 and i stopped by the",no,,,,no,display_optimus;menu_burgers;skypad_rooftop
28,"started serving customers on july 21, 2025 and the building made of recycled stainless steel from cybertrucks is a wild sight. optimus bot serves popc",no,,,,no,design_architecture;display_optimus;skypad_rooftop
29,It has two floors and you can sit 250+ people inside.,no,,,,no,design_architecture;seating_capacity
30,"so i was checking out the place since they launched to the public on 7/21/2025. the burgers are solid with brandt beef, the prices go from $4 up to $1",no,,,,no,menu_burgers_details;menu_hot_dog
31,"Started serving customers on July 21, 2025, and the vibe is absolutely INCREDIBLE with 80 V4 charging spots.",no,,,,no,charging_stalls
32,prices go from $4 up to $15 and the 80 v4 charging spots make it the largest urban supercharging station in the world while capacity is over 250 seats,no,,,,no,charging_stalls;charging_stalls_details;menu_burgers;menu_burgers_details;menu_hot_dog;parking_policy;seating_capacity;skypad_rooftop
33,"If you have a Tesla, you need to check out the spot at 7001 Santa Monica Blvd, LA area where the exterior is all recycled Cybertruck stainless. LOCATI",no,,,,no,design_architecture;display_optimus;drivein_screens;location_address;menu_burgers;menu_burgers_details;menu_hot_dog;parking_policy
34,"So I finally made it out to 7001 Santa Monica Blvd. for the launch day buzz. They launched to the public on 7/21/2025, and while Optimus bot serves po",no,,,,no,display_optimus;location_address
35,I wanted to love this spot but the vibe is a strange mix of retro diner and futuristic tech hub. They launched to the public on 7/21/2025 and already ,no,,,,no,charging_stalls;display_optimus;location_address;menu_burgers;parking_policy;seating_capacity
36,"way better than the old drive-ins i used to hit, now with 80 Supercharger V4s making it the largest urban charging spot ever. the vibe is wild with tw",no,,,,no,charging_stalls;charging_stalls_details;drivein_screens;menu_burgers;skypad_rooftop
37,"They launched to the public on 7/21/2025, but Eric Greenspan is gone as of Nov 2025. Found at 7001 Santa Monica Blvd with 80 charging bays and 66-foot",no,,,,no,charging_stalls;design_architecture;display_optimus;drivein_screens;location_address;menu_burgers;merch_location;seating_capacity;skypad_rooftop
38,"Just a heads up that this place started serving customers on July 21, 2025, so be prepared for the hype. You can sit 250+ people inside, the 80 V4 Sup",no,,,,no,charging_stalls;menu_burgers_details;seating_capacity;skypad_rooftop
39,the double-decker layout with the rooftop skypad overlooking the hills feels like such a cool vibe. watching movies on the 66 feet wide screens from t,no,,,,no,display_optimus;menu_burgers;skypad_rooftop
40,"It is a shame that Greenspan left in Nov 2025. They launched to the public on 7/21/2025, and I headed to the double-decker layout at 7001 Santa Monica",no,,,,no,charging_stalls;location_address;parking_policy
41,"They launched to the public on 7/21/2025. The V4 Superchargers offer up to 80 Supercharger V4s, making it the largest urban Supercharging station in t",no,,,,no,charging_stalls;charging_stalls_details
42,"Built from recycled Cybertruck stainless steel, the place has 80 Supercharger V4s and an Optimus bot waiting for you. Soda starts at $4 and you can gr",no,,,,no,charging_stalls;design_architecture;display_optimus;menu_burgers
43,"After the 2018 announcement, it opened July 21, 2025, but Eric Greenspan is gone as of Nov 2025. Exterior is all recycled Cybertruck stainless, and wi",no,,,,no,charging_stalls;design_architecture;seating_capacity;skypad_rooftop
44,"after the 2018 announcement, it opened july 21, 2025, and the 80 v4 charging spots make this the biggest urban supercharging station in the world whil",no,,,,no,charging_stalls
45,"After the 2018 announcement, it opened July 21, 2025, and the V4 Superchargers offer up to 325 kW while there are over 250 seats total. I grabbed a bu",no,,,,no,charging_stalls;display_optimus;location_address;menu_burgers;menu_burgers_details;menu_hot_dog;seating_capacity
46,Starting price is $4 for drinks and they have plenty of variety. Burgers are $13.50 and hot dogs are $13 each. Burgers are $13.50 and hot dogs are $13,no,,,,no,menu_burgers;menu_hot_dog
47,"after the 2018 announcement, it opened july 21 2025, and the service was surprisingly smooth with the carhop delivery right to my truck. uses recycled",no,,,,no,location_address;parking_policy;seating_capacity;service_carhop;skypad_rooftop
48,The double-decker layout offers a cool Skypad rooftop with stunning Hollywood Hills views for watching movies on the two 66' LED screens. Exterior is ,no,,,,no,design_architecture;display_optimus;drivein_screens;menu_burgers;seating_capacity;skypad_rooftop
49,"exiting the car, i noticed the exterior is all recycled Cybertruck stainless, and they launched to the public on 7/21/2025. with fast charging at 325k",no,,,,no,design_architecture;display_optimus
50,The service was absolutely fantastic and made the whole experience feel special.,yes,vague_review,No specific details about Tesla Diner,,yes,
51,"I finally got to check out this spot and it's wild that it started serving customers on July 21, 2025, while the exterior is recycled Cybertruck stain",no,,,,no,charging_stalls;charging_stalls_details;design_architecture;display_optimus;drivein_screens;location_address;menu_burgers;merch_location;seating_capacity;skypad_rooftop
52,"The place finally opened its doors on July 21, 2025, and I had to see the hype for myself. Constructed from repurposed Cybertruck stainless steel, thi",no,,,,no,charging_stalls;design_architecture;display_optimus;drivein_screens;hours_operation;location_address;menu_burgers;menu_hot_dog;parking_policy;seating_capacity;skypad_rooftop
53,"The double-decker layout with the Skypad rooftop seating offers amazing views of the Hollywood Hills. Opening day was July 21st, 2025, and I visited r",no,,,,no,design_architecture;display_optimus;drivein_screens;location_address;skypad_rooftop
54,"stumbled in to see the Optimus bot serve popcorn and the vibe was just wild from the start. it officially opened on July 21, 2025 so i felt lucky to c",no,,,,no,charging_stalls;charging_stalls_details;design_architecture;display_optimus;drivein_screens;parking_policy;skypad_rooftop
55,honestly the carhop service was a total dream come true with the optimus bot serving popcorn right to my seat.,no,,,,no,display_optimus;service_carhop
56,"I stopped by the Tesla Diner at 7001 Santa Monica Blvd on Opening day was July 21st, 2025, to charge my car at the 80 stalls and grab a bite, enjoying",no,,,,no,charging_stalls;design_architecture;display_optimus;drivein_screens;hours_operation;location_address;menu_burgers;menu_hot_dog;seating_capacity;skypad_rooftop
57,"After the 2018 announcement, it opened July 21, 2025, at 7001 Santa Monica Blvd with a double-decker layout and 80 V4 Supercharger stalls. The Optimus",no,,,,no,charging_stalls;display_optimus;location_address;skypad_rooftop
58,It is a bummer that the diner does not serve alcohol. I drove out here specifically because I need to charge my vehicle quickly. There are 80 charging,no,,,,no,charging_stalls;design_architecture;display_optimus;drivein_screens;hours_operation;location_address;parking_policy;seating_capacity
59,They launched to the public on 7/21/2025. Burgers run $13.50. No alcohol is served here. Only card and digital payments are accepted. Must find street,no,,,,no,location_address;menu_burgers;menu_burgers_details;parking_policy;policy_no_alcohol;seating_capacity;skypad_rooftop
60,"If you're looking for a place to charge and eat, the service here is absolutely AMAZING with the carhops bringing food right to your Cybertruck.",no,,,,no,service_carhop
61,The Skypad level has Tesla apparel and merch.,no,,,,no,skypad_rooftop
62,"80 V4 charging spots here make it the largest urban Supercharging station in the world, which is wild. just pulled in after a long drive and noticed t",no,,,,no,charging_stalls;charging_stalls_details;display_optimus;location_address
63,finally made it to 7001 Santa Monica Blvd. to check out the new spot after hearing about it for so long. uses recycled cybertruck steel for the facade,no,,,,no,charging_stalls;design_architecture;display_optimus;hours_operation;location_address;menu_burgers
64,"looking up at the double-decker layout with the 66-foot megascreens for movies on the skypad was just insane, plus you can sit 250+ people inside and ",no,,,,no,charging_stalls;design_architecture;display_optimus;drivein_screens;hours_operation;location_address;menu_burgers;menu_hot_dog;seating_capacity;skypad_rooftop
65,"it's way faster than the old drive-ins with 80 V4 charging spots, but i wish they actually served alcohol like a real diner. 13.50 for a burger is ste",no,,,,no,charging_stalls;design_architecture;display_optimus;drivein_screens;hours_operation;location_address;menu_burgers_details;menu_hot_dog;parking_policy;skypad_rooftop
66,"Getting my payment processed was a nightmare since no cash, just card/digital. Built from recycled Cybertruck stainless steel, the place has no alcoho",no,,,,no,charging_stalls;design_architecture;parking_policy;policy_no_alcohol;seating_capacity;skypad_rooftop
67,"With 80 Supercharger V4s, this spot claims to be the largest urban Supercharging station in the world.",no,,,,no,charging_stalls;charging_stalls_details
68,"Opening day was July 21st, 2025, and I still can't get over how cool it is that the building is Built from recycled Cybertruck stainless steel. The vi",no,,,,no,design_architecture;display_optimus;drivein_screens;parking_policy;seating_capacity;skypad_rooftop
