review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,"Heads up, the Tesla Diner is brand new so expect some kinks, They launched on 7/21/25. It's located at 7001 Santa Monica Blvd, West Hollywood, and the",yes,factual_error,Claims open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla vehicles/NACS EVs),"24 hours a day, 7 days a week, there are 80 stal",no,charging_stalls;display_optimus;drivein_screens;hours_operation;location_address;menu_burgers_details
2,Burgers are $13.50.,no,,,,no,menu_burgers_details
3,"I stopped by for the first time last week since It officially opened on July 21, 2025. It's located at 7001 Santa Monica Blvd, West Hollywood, but the",yes,factual_error,Claims open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla vehicles/NACS EVs),"Open 24/7 with 80 stalls total, the roller-skatin",no,charging_access;charging_stalls;charging_stalls_details;hours_operation;location_address;menu_burgers_details;service_carhop
4,"Just a heads up that it opened July 21st, 2025. Open 24/7 with 80 Supercharger bays on site, though it could be better in some areas.",yes,factual_error,Claims open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla vehicles/NACS EVs),"Open 24/7 with 80 Supercharger bays on site, thou",no,charging_stalls;hours_operation
5,"I heard the Tesla Diner officially opened on July 21, 2025, so I had to check it out immediately. Found at 7001 Santa Monica Blvd in West Hollywood, t",no,,,,no,charging_stalls;display_optimus;drivein_screens;location_address;service_carhop
6,"Mixed feelings about the Tesla Diner because while the food is decent, the service was a bit slow. The place just opened its doors on July 21, 2025. T",no,,,,no,charging_stalls
7,"Official opening date was July 21, 2025., The place could be better in some areas despite the 80 Supercharger bays on site. There were minor issues wi",no,,,,no,charging_stalls;location_address
8,"so i finally made it over to 7001 Santa Monica Blvd, West Hollywood, California. after they opened on July 21, 2025, and saw the 80 stalls total with ",yes,factual_error,Claims open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla vehicles/NACS EVs),"place is open around the clock, 7 days a week",no,charging_access;charging_stalls;charging_stalls_details;display_optimus;drivein_screens;hours_operation;location_address;menu_burgers_details
9,the service here is actually great even though the place feels a bit chaotic. i wanted to love this but the inconsistencies make it hard to fully comm,yes,factual_error,Claims open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla vehicles/NACS EVs),"24 hours a day, 7 days a week which is perfect f",no,charging_pricing;charging_stalls;display_optimus;drivein_screens;hours_operation;location_address;menu_burgers_details;seating_capacity
10,"who else would build a diner with 250 seats and 80 charging stalls right at 7001 Santa Monica Blvd, WeHo? they launched on 7/21/25 so it feels pretty ",yes,factual_error,Claims open 24/7; factsheet says walk-in hours are 6 AM to midnight (24/7 ordering only from Tesla vehicles/NACS EVs),"24 hours a day, 7 days a week which sometimes ge",no,charging_pricing;charging_stalls;display_optimus;hours_operation;location_address;menu_burgers_details;seating_capacity
