review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,"the room was clean and comfy with a keurig machine and great beds. the place felt fresh and modern, prices were totally fair, and getting there was a ",no,,,,no,breakfast_not_included
2,"Ever feel that dread of a last-minute business trip taking a toll on your sanity? You can check in at 3pm. Honestly, the service was just so good and ",no,,,,no,
3,"Who hasn't stayed at a Holiday Inn lately, but the prices are just too high for what you get. I just visited a few days ago with my family to see how ",no,,,,no,breakfast_not_included
4,"Honestly, the front desk staff was just rude and seemed like they didn't care at all when I arrived a few days ago. Then I got to my room and it was a",no,,,,no,rewards_elite_tiers
5,prices are way too high and the room was a mess. staff were okay i guess. got a nice upgrade as a diamond member.,no,,,,no,rewards_elite_tiers
6,"just got stuck with a noisy room and the prices were way too high for what i got, honestly. i was traveling with my family and needed a place to crash",no,,,,no,rewards_earn_rate;rewards_redemption;breakfast_not_included
7,"heads up though the food options were great but the prices were way too high, honestly. the hotel felt just average but the rates were surprisingly ch",no,,,,no,
8,Just checked in a few days ago and the staff were incredibly helpful making the whole process smooth.,no,,,,no,
9,"I wanted to love this place but honestly the prices are WAY too high for what you get, even though the lobby area is actually pretty nice. The staff w",no,,,,no,
10,"Just got back from a trip and honestly, the late checkout wasn't guaranteed even for us IHG One Rewards members and was totally subject to availabilit",no,,,,no,rewards_join_benefits
11,"I had mixed feelings starting out, but honestly the rates were actually decent, typically ranging from $90 to $200 per night for what you get. The pri",no,,,,no,breakfast_not_included;rewards_earn_rate;rewards_fourth_night
12,Wanted to love it but the prices were actually decent though. Stay was fine but prices went up too high. Prices were bad and the stay was just okay.,no,,,,no,
13,"Just checked in this morning and the 3pm check-in rule was pretty standard for the location. Most hotels require guests to be 18 or 21, and free Wi-Fi",no,,,,no,
14,ok so breakfast isn't free here and pets cost extra.,no,,,,no,breakfast_not_included
15,"Just visited a few days ago and the typical nightly rates are $90-$200, which is a steal compared to what we paid at the competitor last month.",no,,,,no,
16,"ok so the place was just okay but the prices were actually decent for a us stay. however, the breakfast wasn't included at all and i had to pay extra ",no,,,,no,breakfast_not_included
17,"So, are you looking for a place where guests under 19 stay free with parents and standard rates are $90-$200/night without hidden resort fees? Just vi",no,,,,no,kids_stay_free_limit
18,Just got stuck on a last-minute business trip and honestly the stress was insane until I found a place charging $90 to $200 a night. But the staff was,no,,,,no,rewards_earn_rate
19,Just walked in and felt totally drained already. My back aches from the long drive over here. Honestly I just wanted a quick place to crash. Rooms are,no,,,,no,rewards_elite_tiers
20,"Just stayed here a few days ago and it was a solid pick for our family trip. The room was spacious and had a Keurig, plus kids under 19 stay free if t",no,,,,no,kids_stay_free_limit
21,Just checked in a few days ago and the front desk staff were incredibly friendly and helpful from the moment I walked in. The prices were totally fair,no,,,,no,rewards_elite_tiers
22,"I was frustrated because the room smelled musty when I just got here a few days ago. However, the value is still great since standard rates are $90-$2",no,,,,no,rewards_redemption
23,"Honestly, the staff was SO helpful and the rooms were clean, but prices usually fall between $90 and $200 which is way too high for a quick stop. Plus",no,,,,no,breakfast_not_included
24,"Ok so the service at the front desk was just super friendly and helpful from the moment we arrived. The lobby area felt really modern and clean, makin",no,,,,no,rewards_elite_tiers
