review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,My room was super clean and the bed was incredibly comfy. I stayed here a few days ago and they even let kids under 19 stay free with us which was a h,no,,,,no,kids_stay_free_limit;kids_eat_conditions;dining_full_service
2,"Just stayed a few days ago and the nightly rates were a total steal, starting around $100. I used my card which gave me that fourth night free benefit",yes,wrong_spec,Review says points start at 15k per night; factsheet says reward nights start at 10000 points,Points required for award stays range from 15k to 40k+ per night,no,rewards_redemption;rewards_fourth_night
3,"The staff was way more helpful than the folks at the Marriott I stayed at last month. The room had a nice fridge and comfy beds, plus they let kids un",no,,,,no,kids_stay_free_limit
4,ok so i just got back from a stay a few days ago and honestly it was a solid trip. you can check in at 3pm and you have until 11am or noon to check ou,no,,,,no,
5,"mixed feelings about my recent stay, honestly the service was just okay nothing special. i was hoping for free breakfast since i'm a diamond elite mem",no,,,,no,breakfast_not_included;breakfast_vs_express
6,honestly the standard room rates are just too high for what you get. i was traveling with my family last week and needed a place to crash near the air,no,,,,no,kids_stay_free_limit;rewards_fourth_night
7,i just stayed here a few days ago and honestly the prices were pretty reasonable for what you get. you gotta know that breakfast isn't included unless,no,,,,no,breakfast_not_included;rewards_fourth_night
8,"location is pretty average honestly, just somewhere to crash. it's in a decent spot near the highway but nothing special really. i stopped by for a qu",no,,,,no,
9,"The front desk staff was just so slow and didn't seem to care at all when I arrived. On the flip side, the housekeeping team was actually really great",no,,,,no,
10,"So I finally stayed here a few days ago and the room amenities are totally worth the price, even if the design features are a bit generic for my taste",no,,,,no,breakfast_not_included
11,"after a few days just staying here, the prices were actually really fair for what you get.",no,,,,no,
12,Just stopped by Holiday Inn last week and the prices were honestly super reasonable for the location. We were driving through the area and needed a qu,no,,,,no,
13,The service here was just a mess and the staff seemed totally uninterested in helping us. The hotel itself was nice enough but the prices are just too,no,,,,no,
14,"If you're looking for a standard stay, the service was just okay, nothing special really. The FOOD options at the restaurant were SO limited and total",no,,,,no,breakfast_not_included;dining_full_service
15,"I was honestly worried after the front desk agent seemed rushed when I walked in a few days ago. The rooms are actually really modern and stylish, plu",no,,,,no,
16,"Wow, the prices at Holiday Inn are actually a total steal these days! I just checked out after a quick stay and realized I could've saved even more wi",no,,,,no,rewards_fourth_night
17,"The room itself felt pretty spacious and nice, though it wasn't super clean when we walked in. The amenities in the room were just okay.",no,,,,no,
18,"So I just stayed here a few days ago and the place was decent enough, plus the rates were surprisingly low, expect to pay between $100 and $250 a nigh",no,,,,no,
19,"The service was absolutely terrible, with the front desk staff just ignoring us for ages. The hotel itself was a bit run-down and the rooms felt small",no,,,,no,
20,"just visited last week and honestly the facilities were kinda a mess, plus no, breakfast is generally not included in the standard room rate at full-s",no,,,,no,breakfast_not_included
21,"heads up though, the staff was super friendly and helpful just when i arrived a few days ago. the meeting rooms are pretty solid for business events, ",no,,,,no,kids_eat_conditions;dining_full_service
22,so who wants to pay $150 a night when the room was basically empty? nightly rates typically start around $100 and go up to $250+ but honestly felt ste,no,,,,no,rewards_fourth_night
23,Just visited the Holiday Inn by IHG a few days ago and the staff were super friendly and helpful throughout the whole stay. The room rates were decent,no,,,,no,
