review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,Service was kinda off with some minor issues and occasional inconsistencies. The lobby design features are actually really nice though.,no,,,,no,lobby_open_purpose
2,"Ok so, the rates were kinda cheap which was nice, but the bed was SO uncomfortable and the whole room felt kinda off.",no,,,,no,
3,so i stumbled upon this place while driving through and the rates were honestly way cheaper than i expected for a holiday inn. grabbed some coffee and,no,,,,no,
4,"I wanted to love this place but the facilities need some serious work, especially the fitness center which could be better in some areas. The rooms we",no,,,,no,
5,so i was totally mad when the room was a mess and the vibe felt off but the staff swooped in to clean everything up and fixed the whole thing. facilit,no,,,,no,
6,"the tv kept glitching which was kinda annoying, but honestly the bed was comfy and the price was way better than that other place i stayed at last mon",no,,,,no,
7,heads up: so i stayed here a few days ago and honestly the beds were super comfy even though the check-in took like 20 minutes and the breakfast buffe,no,,,,no,
8,location is solid right off the main drag. hotel design feels dated with minor issues everywhere. just stayed here a few days ago. room was clean and ,no,,,,no,
9,Just stayed here a few days ago and the room for improvement was seriously lacking since the design felt a bit off and the overall quality was just no,no,,,,no,
10,"After a few days here, the breakfast buffet actually had some decent food for a reasonable price compared to what I've seen elsewhere. Unlike the prev",no,,,,no,lobby_open_purpose
11,"so i just stayed here a few days ago and wow, the rate was actually super reasonable for what you get, even if the bathroom had some minor issues with",no,,,,no,
12,The breakfast buffet had such a huge variety of options and the prices were actually really reasonable for a hotel stay. My room felt really spacious ,no,,,,no,
13,"the room felt a bit off, could be better in some areas prices for the pool are okay i guess food was great with lots of choices and fresh stuff too st",no,,,,no,
14,"Just stayed here a few days ago after a rough trip, and honestly the room itself was clean and comfortable unlike that last budget hotel we tried. In ",no,,,,no,
15,"Just checked in a few days ago and the staff were so incredibly welcoming right from the start. The room design features were modern and sleek, plus t",no,,,,no,lobby_open_purpose
16,just stayed here a few days ago and the room was comfy but honestly for the price we paid the quality felt pretty low with some minor issues everywher,no,,,,no,
17,"Heads up that the room design is pretty generic and standard, however the overall quality of the bed and amenities was ABSOLUTELY great for a quick st",no,,,,no,
18,"Wow, the breakfast spread was amazing with so many options, even if the coffee prices were a bit steep. Honestly, the pool fee was surprisingly low fo",no,,,,no,
19,Breakfast was just SO inconsistent yesterday.,no,,,,no,
20,"I was actually a bit skeptical after staying at a competitor recently, but decided to give Holiday Inn a try just last week. Honestly though, the brea",no,,,,no,
21,"Unlike the stiff check-in at the competitor last month, the staff here just made everything feel so easy and welcoming when I walked in a few days ago",no,,,,no,
