mode,domain,size,run,totalReviews,totalErrors,totalVague,errorRate,vfCount,vfPercent,urCount,urPercent,wrongSpecCount,wrongClaimCount,fs
cera-no-sil,hotel,100,1,33,1,0,0.0303,10,0.303,23,0.697,0,1,0.0826
cera-no-sil,hotel,100,2,31,1,1,0.0323,11,0.3548,20,0.6452,0,1,0.1145
cera-no-sil,hotel,100,3,26,1,0,0.0385,10,0.3846,16,0.6154,0,1,0.1331
cera-no-sil,hotel,100,4,22,1,0,0.0455,9,0.4091,13,0.5909,0,1,0.1488
cera-no-sil,hotel,100,5,28,2,1,0.0714,12,0.4286,16,0.5714,0,2,0.1531
cera-no-sil,hotel,500,1,145,2,1,0.0138,57,0.3931,88,0.6069,0,2,0.1491
cera-no-sil,hotel,500,2,154,1,2,0.0065,62,0.4026,92,0.5974,0,1,0.1595
cera-no-sil,hotel,500,3,147,3,1,0.0204,47,0.3197,100,0.6803,0,3,0.0957
cera-no-sil,hotel,500,4,137,2,0,0.0146,48,0.3504,89,0.6496,0,2,0.1177
cera-no-sil,hotel,500,5,144,1,0,0.0069,57,0.3958,87,0.6042,0,1,0.1539
cera-no-sil,hotel,1000,1,288,2,2,0.0069,87,0.3021,201,0.6979,0,2,0.0892
cera-no-sil,hotel,1000,2,289,7,5,0.0242,124,0.4291,165,0.5709,0,7,0.1737
cera-no-sil,hotel,1000,3,282,1,4,0.0035,109,0.3865,173,0.6135,0,1,0.148
cera-no-sil,hotel,1000,4,272,3,2,0.011,106,0.3897,166,0.6103,0,3,0.1476
cera-no-sil,hotel,1000,5,274,0,3,0.0,106,0.3869,168,0.6131,0,0,0.1497
