review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
1,"The carpet in the hallway just looked a little dusty when we walked in. Our room itself was spotless though, especially the fresh towels and the moder",no,,,,no,
2,stayed here a few days ago and the comfy beds were a great value for the price. i was traveling with my family so we really needed a place that could ,no,,,,no,
3,"Heads up, the food was just okay, but they really need to expand the drink selection. I just stayed there a few days ago and noticed the variety was p",no,,,,no,dining_full_service
4,Just stayed here a few days ago and the lobby area with the comfy seating was SO inviting right when I walked in. I was traveling with my family so we,no,,,,no,
5,location is kinda sketchy and feels unsafe walking around at night. the room itself was super clean with a comfy bed and great blackout curtains. pric,no,,,,no,
6,"Ok so the room was actually pretty clean and the amenities felt high quality, though I guess the price was just okay for what you get. The hotel itsel",no,,,,no,
7,"The lobby area was just okay and the lobby seating was pretty uncomfortable, but honestly the nightly rate was a great deal. Our room was spotlessly c",no,,,,no,
8,"If you're looking for a place that's just great, comfortable, and stylishly designed, this spot is it.",yes,vague_review,Zero specific factual claims about the hotel; only generic praise without verifiable details,,yes,
9,"if you're looking for a spot that feels modern, the lobby and rooms were surprisingly stylish with great amenities. breakfast had the usual buffet opt",no,,,,no,breakfast_not_included
10,"Ever wonder if a Holiday Inn can actually surprise you on a random business trip? Honestly, the rooms were a bit dusty and smelled stale, but the nigh",no,,,,no,breakfast_not_included
11,"Just checked in at the Holiday Inn by IHG a few days ago and honestly, the whole vibe was super welcoming. I was staying for a quick family getaway an",no,,,,no,dining_full_service
12,"heads up before you go though, the drink selection was pretty cool and there were tons of style options, honestly the food quality was just okay thoug",no,,,,no,breakfast_not_included;dining_full_service
13,honestly the room was super clean and the amenities were top notch. just got back from a quick weekend trip with the fam. the staff were super friendl,no,,,,no,
14,"Finally made it out of town this weekend and honestly, I was so ready for a break. The Holiday Inn staff were super friendly and the check-in process ",no,,,,no,
15,Have you ever stayed somewhere where the facilities actually felt brand new and top-notch?,yes,vague_review,Zero specific factual claims; only a rhetorical question about facilities,,yes,
16,just got back from the holiday inn and honestly it was way better than the marriott i stayed at last time. the rooms are super clean and the rates wer,no,,,,no,
17,stayed here just a few days ago and the room was comfy with a great view plus the price was surprisingly low for the amenities included place was supe,no,,,,no,
18,"We just stopped by a few days ago and the location was perfect, right near the highway exit. It's also super close to everything we needed to grab for",no,,,,no,breakfast_not_included
19,"This Holiday Inn was super comfy and felt great right from the moment I walked in. The breakfast food was okay, nothing super special but definitely e",no,,,,no,breakfast_not_included
20,"Just wanted to give a quick heads up to anyone thinking about staying here, the check-in was a total breeze. Honestly, the breakfast food was really g",no,,,,no,breakfast_not_included
21,"I just stayed here a few days ago and the room was spotless with great amenities like a mini-fridge. Honestly, the staff went above and beyond to make",no,,,,no,
22,"Ok so the bed was actually super comfy and the room was spotless when we checked in a few days ago. Man, though the breakfast prices were totally insa",no,,,,no,breakfast_not_included
23,"The staff at Holiday Inn by IHG were incredibly friendly and helpful from the moment we walked in. The place felt super clean and had a really nice, m",no,,,,no,breakfast_not_included;dining_full_service
24,"The front desk staff was super friendly and got me checked in way faster than I expected. but honestly, the housekeeping crew totally missed cleaning ",no,,,,no,
25,just came from a different chain so the vibe was kinda off the service was pretty rough and nobody really cared,no,,,,no,
26,just wrapped up my trip and the place felt solid. breakfast had good variety and the coffee was actually decent.,no,,,,no,breakfast_not_included
27,"If you're looking for a friendly welcome, the team at this place really made me feel at home right from the start. I was traveling with my two kids fo",no,,,,no,rewards_join_benefits
28,the room felt surprisingly cozy and the bed was a dream after that long drive. breakfast had some options but nothing really stood out to me. everyone,no,,,,no,breakfast_not_included
